pool_id,site,garage,station,gold
caltech__California_Garage_01,caltech,California_Garage_01,2-39-123-23,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-123-557,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-124-22,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-124-558,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-125-21,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-125-559,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-126-20,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-126-560,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-127-19,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-127-561,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-128-18,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-128-562,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-129-17,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-129-563,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-130-31,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-130-564,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-131-30,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-131-565,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-138-29,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-138-566,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-139-28,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-139-567,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-78-360,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-78-361,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-78-362,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-78-363,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-78-364,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-78-365,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-78-366,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-78-367,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-79-376,True
caltech__California_Garage_01,caltech,California_Garage_01,2-39-79-377,True
