session_id,site,garage,station_id,start_utc,end_utc,duration_min,max_gap_kw,median_gap_kw,p95_gap_kw,gap_energy_kwh,working_power_median_kw,month,phase,event_phase,start_minutes_to_done,minutes_from_disconnect_at_start,fail_type,permutation_survived,charging_minutes,n_events
2_39_79_382_2018-11-09 16:28:55.950386,caltech,California_Garage_01,2-39-79-382,2018-11-09 16:34:00+00:00,2018-11-09 22:56:00+00:00,383.0,2.8031333333333337,0.6050625000000001,0.6793687500000001,4.1851510902249816,1.3155882352941175,2018-11,core_run_segment,core_run_segment,528.0833333333334,528.1666666666666,largest_core_event,True,,
2_39_79_381_2019-04-24 16:49:01.077695,caltech,California_Garage_01,2-39-79-381,2019-04-24 16:55:00+00:00,2019-04-24 21:54:00+00:00,300.0,0.8580666666666668,0.646125,0.6875766666666666,3.1918997613211957,1.2738749999999999,2019-04,core_run_segment,core_run_segment,516.0166666666667,590.7,largest_core_event,True,,
2_39_79_380_2019-07-29 16:09:33.196124,caltech,California_Garage_01,2-39-79-380,2019-07-29 17:29:00+00:00,2019-07-29 22:18:00+00:00,290.0,1.1432,0.6551291666666667,0.69671,3.2264998737550568,1.26503125,2019-07,core_run_segment,core_run_segment,409.26666666666665,409.35,largest_core_event,True,,
2_39_79_383_2018-11-05 16:33:43.710900,caltech,California_Garage_01,2-39-79-383,2018-11-05 16:39:00+00:00,2018-11-05 21:07:00+00:00,269.0,1.491266666666667,0.7375333333333334,0.9759200000000001,3.4024442875917793,1.1833333333333333,2018-11,core_run_segment,core_run_segment,388.65,472.93333333333334,largest_core_event,True,,
2_39_79_376_2018-11-14 19:02:24.346703,caltech,California_Garage_01,2-39-79-376,2018-11-14 19:08:00+00:00,2018-11-14 22:16:00+00:00,189.0,2.0204375000000008,0.6188235294117646,0.6288374999999999,2.067222391135643,1.3015333333333332,2018-11,core_run_segment,core_run_segment,308.6,308.6666666666667,largest_core_event,True,,
2_39_79_377_2019-05-15 17:10:39.016056,caltech,California_Garage_01,2-39-79-377,2019-05-15 17:16:00+00:00,2019-05-15 20:02:00+00:00,167.0,0.7087333333333334,0.6496875,0.6930270833333334,1.8176104784363238,1.2703125,2019-05,core_run_segment,core_run_segment,286.6333333333333,532.35,largest_core_event,True,,
2_39_92_442_2018-11-21 17:34:15.036267,caltech,California_Garage_01,2-39-92-442,2018-11-21 17:40:00+00:00,2018-11-21 20:06:00+00:00,147.0,4.1756875,4.10125,4.14924,9.929779602591035,3.5373124999999996,2018-11,core_run_segment,core_run_segment,266.4166666666667,600.6,largest_core_event,True,,
2_39_139_28_2019-07-25 04:54:24.210389,caltech,California_Garage_01,2-39-139-28,2019-07-25 05:08:00+00:00,2019-07-25 07:33:00+00:00,146.0,1.976,1.2462666666666666,1.2709520833333332,3.0561591258169933,3.553733333333333,2019-07,core_run_segment,core_run_segment,265.3333333333333,491.15,largest_core_event,True,,
2_39_131_30_2019-06-03 15:37:40.938546,caltech,California_Garage_01,2-39-131-30,2019-06-03 15:50:00+00:00,2019-06-03 18:08:00+00:00,139.0,1.3754666666666666,1.3298666666666663,1.362425,3.0770285008169935,3.468625,2019-06,core_run_segment,core_run_segment,258.8,532.6833333333333,largest_core_event,True,,
2_39_139_28_2019-07-13 04:42:22.931752,caltech,California_Garage_01,2-39-139-28,2019-07-13 04:55:00+00:00,2019-07-13 07:12:00+00:00,138.0,1.3058666666666667,1.2692999999999999,1.2941933333333333,2.919725823996265,3.5307,2019-07,core_run_segment,core_run_segment,257.9,604.95,largest_core_event,True,,
2_39_79_381_2018-11-08 16:09:40.895271,caltech,California_Garage_01,2-39-79-381,2018-11-08 18:39:00+00:00,2018-11-08 20:51:00+00:00,133.0,1.8472,0.6271875,1.4178033613445329,1.610528999572051,1.2963125,2018-11,core_run_segment,core_run_segment,252.55,252.73333333333332,largest_core_event,True,,
2_39_131_30_2018-11-22 21:21:11.013002,caltech,California_Garage_01,2-39-131-30,2018-11-22 21:27:00+00:00,2018-11-22 23:38:00+00:00,132.0,4.141705882352941,4.0517666666666665,4.1328575,8.853385558084344,3.563211111111111,2018-11,core_run_segment,core_run_segment,251.16666666666666,650.25,largest_core_event,True,,
