month,n_denom_sessions,n_core_events,core_event_session_rate,core_energy_kwh
2018-11,664,89,0.07680722891566265,98.80851051293678
2018-12,503,58,0.07157057654075547,11.881057823087229
2019-01,572,140,0.12237762237762238,31.702419998469864
2019-02,506,111,0.116600790513834,25.691351607715625
2019-03,501,146,0.1277445109780439,35.10549705422098
2019-04,487,105,0.11498973305954825,28.24423513934336
2019-05,449,73,0.09799554565701558,30.21846405686215
2019-06,347,81,0.12103746397694524,37.88227076651018
2019-07,362,182,0.17679558011049723,84.34613698040533
2019-08,282,121,0.15602836879432624,50.737551203791796
