session_id,charging_minutes,work_energy_kwh,n_events,gap_energy_kwh,max_duration_min,has_event
2_39_123_23_2018-11-01 04:23:16.156007,90,542.8071945261438,0.0,0.0,0.0,False
2_39_123_23_2018-11-01 15:04:29.631977,31,52.51372781279178,0.0,0.0,0.0,False
2_39_123_23_2018-11-02 17:33:15.411733,61,102.90803716634672,0.0,0.0,0.0,False
2_39_123_23_2018-11-02 20:40:02.895705,119,218.43349501887002,0.0,0.0,0.0,False
2_39_123_23_2018-11-05 16:42:22.366162,77,252.15340079365077,1.0,0.3341099264705882,7.0,True
2_39_123_23_2018-11-06 06:12:47.216874,88,582.1342069444444,0.0,0.0,0.0,False
2_39_123_23_2018-11-06 17:19:37.210492,80,459.7970053221288,1.0,0.1513025735294118,5.0,True
2_39_123_23_2018-11-07 16:24:07.255283,276,958.7257901260504,1.0,0.5552211574074074,18.0,True
2_39_123_23_2018-11-08 16:02:06.013901,91,290.88580609243695,1.0,0.33574645833333333,8.0,True
2_39_123_23_2018-11-09 15:59:49.734040,120,387.451254318394,2.0,0.6368056944444445,9.0,True
2_39_123_23_2018-11-09 23:35:26.642470,87,582.584389414099,0.0,0.0,0.0,False
2_39_123_23_2018-11-10 17:46:45.567035,29,175.29063532851737,0.0,0.0,0.0,False
2_39_123_23_2018-11-12 16:08:46.787968,130,831.6101245331465,1.0,0.5967317197712418,7.0,True
2_39_123_23_2018-11-13 15:55:46.254768,118,383.34084295051355,2.0,0.7089657175925925,9.0,True
2_39_123_23_2018-11-14 00:58:55.942402,52,79.49455765362089,0.0,0.0,0.0,False
2_39_123_23_2018-11-14 16:49:10.682064,129,838.8650405462184,1.0,0.5898722222222222,7.0,True
2_39_123_23_2018-11-15 16:00:54.079519,126,405.03102690242764,1.0,0.3556416339869281,8.0,True
2_39_123_23_2018-11-16 01:39:43.833042,121,775.2904867905056,1.0,0.6409490808823529,7.0,True
2_39_123_23_2018-11-16 15:57:21.640131,128,406.8294961484594,1.0,0.4036353174603175,10.0,True
2_39_123_23_2018-11-17 00:45:33.163917,104,659.7350541549953,0.0,0.0,0.0,False
2_39_123_23_2018-11-18 21:51:42.176388,8,13.289983333333334,0.0,0.0,0.0,False
2_39_123_23_2018-11-19 00:21:58.462386,31,52.74380049019608,0.0,0.0,0.0,False
2_39_123_23_2018-11-19 19:43:02.270674,184,1224.5183912372843,0.0,0.0,0.0,False
2_39_123_23_2018-11-20 18:40:50.808187,61,92.56702048139768,0.0,0.0,0.0,False
2_39_123_23_2018-11-20 20:56:16.590808,136,872.3242621163623,0.0,0.0,0.0,False
2_39_123_23_2018-11-21 16:38:21.366310,115,381.82644618347337,3.0,6.320715174486461,80.0,True
2_39_123_23_2018-11-25 17:13:14.390504,84,252.51665710784312,2.0,6.047476965452848,49.0,True
2_39_123_23_2018-11-26 18:21:43.162547,277,872.2968496881128,15.0,5.000389234470595,14.0,True
2_39_123_23_2018-11-27 16:00:22.013104,91,273.17957872691034,2.0,2.0044371426530985,25.0,True
2_39_123_23_2018-11-28 16:25:33.851774,128,729.6284091331269,0.0,0.0,0.0,False
2_39_123_23_2018-11-29 00:55:49.294149,122,423.4520195961718,4.0,0.6014625667211329,10.0,True
2_39_123_23_2018-11-29 16:33:31.090861,146,819.7167371274622,0.0,0.0,0.0,False
2_39_123_23_2018-11-30 16:38:26.677452,142,822.4054354234001,0.0,0.0,0.0,False
2_39_123_23_2018-11-30 22:31:24.027960,13,65.00986666666667,1.0,0.30527250000000006,6.0,True
2_39_123_23_2018-12-02 21:58:25.887226,142,949.2788888835494,0.0,0.0,0.0,False
2_39_123_23_2018-12-03 16:36:38.147824,115,610.3483895928547,0.0,0.0,0.0,False
2_39_123_23_2018-12-04 17:02:01.716639,125,410.1838499111183,4.0,0.9420786828898225,13.0,True
2_39_123_23_2018-12-05 16:15:47.709593,137,814.8955430411908,0.0,0.0,0.0,False
2_39_123_23_2018-12-06 15:56:29.123852,136,845.3014604925303,1.0,0.5546707638888888,7.0,True
2_39_123_23_2018-12-07 17:02:21.740107,82,285.3499081265956,0.0,0.0,0.0,False
2_39_123_23_2018-12-07 20:07:50.398663,157,997.3028660714285,1.0,0.7806519444444445,18.0,True
2_39_123_23_2018-12-09 05:12:38.547218,225,788.1617086878679,1.0,0.29118169642857145,9.0,True
2_39_123_23_2018-12-09 20:19:24.124288,283,1909.6361679842216,0.0,0.0,0.0,False
2_39_123_23_2018-12-10 20:21:22.494874,144,631.8141377545055,3.0,1.0740126556776557,17.0,True
2_39_123_23_2018-12-11 16:00:29.156071,94,291.571479997127,1.0,0.42637298611111113,9.0,True
2_39_123_23_2018-12-12 00:34:49.581552,70,234.0221478174603,1.0,0.29228604166666666,5.0,True
2_39_123_23_2018-12-12 16:59:08.333943,97,303.7241844070962,1.0,0.3116734354575163,9.0,True
2_39_123_23_2018-12-12 21:49:58.749944,49,103.04212475024974,0.0,0.0,0.0,False
2_39_123_23_2018-12-13 16:00:11.718823,48,69.50630733620696,0.0,0.0,0.0,False
2_39_123_23_2018-12-13 17:52:10.582235,167,198.97172997052175,0.0,0.0,0.0,False
2_39_123_23_2018-12-14 10:39:43.601369,63,377.0301987839778,0.0,0.0,0.0,False
2_39_123_23_2018-12-14 15:55:55.887055,116,327.68833650185866,1.0,0.40639774572745446,9.0,True
2_39_123_23_2018-12-15 19:29:14.969899,168,672.6391517054282,5.0,1.632317167962327,38.0,True
2_39_123_23_2018-12-17 20:55:04.190756,150,627.1686649396097,1.0,0.25072361772486773,5.0,True
2_39_123_23_2018-12-18 15:54:47.324635,104,252.76840351957554,1.0,0.26439925324403263,8.0,True
2_39_123_23_2018-12-19 05:51:41.613659,34,57.02834595189812,0.0,0.0,0.0,False
2_39_123_23_2018-12-19 17:42:57.810753,26,167.01954811307112,0.0,0.0,0.0,False
2_39_123_23_2018-12-19 18:44:05.015526,38,214.59554526758072,0.0,0.0,0.0,False
2_39_123_23_2018-12-19 22:48:17.976241,61,387.98551101560116,0.0,0.0,0.0,False
2_39_123_23_2018-12-20 03:03:51.568590,112,692.8174220013608,1.0,0.45104783382066277,7.0,True
2_39_123_23_2018-12-20 15:59:43.011822,98,270.96872223764365,0.0,0.0,0.0,False
2_39_123_23_2018-12-21 17:16:27.985979,135,382.8299687301003,1.0,0.21373795252949665,6.0,True
2_39_123_23_2018-12-22 22:20:04.217533,55,374.3130786953243,0.0,0.0,0.0,False
2_39_123_23_2018-12-25 21:57:08.643848,65,422.469647621741,0.0,0.0,0.0,False
2_39_123_23_2018-12-29 21:20:53.252368,129,819.9350524827898,1.0,0.5848973809523809,7.0,True
2_39_123_23_2019-01-02 16:27:57.366037,382,2399.22668898128,0.0,0.0,0.0,False
2_39_123_23_2019-01-03 16:10:45.035789,84,248.71487506672034,1.0,0.43190958547307806,11.0,True
2_39_123_23_2019-01-04 13:57:31.140098,327,2072.4983946459106,0.0,0.0,0.0,False
2_39_123_23_2019-01-07 15:54:23.598488,86,234.82840662519453,1.0,0.42685512663398695,9.0,True
2_39_123_23_2019-01-08 15:58:42.988850,85,241.76718934964674,1.0,0.27519240351696234,7.0,True
2_39_123_23_2019-01-09 00:10:52.018002,93,297.1588742629103,1.0,0.36339574346405223,13.0,True
2_39_123_23_2019-01-09 17:18:07.853093,93,265.8501279122451,0.0,0.0,0.0,False
2_39_123_23_2019-01-10 21:33:29.915214,71,139.16849537815125,2.0,1.273026126406703,14.0,True
