session_id,site,garage,station_id,start_utc,end_utc,duration_min,max_gap_kw,median_gap_kw,p95_gap_kw,gap_energy_kwh,working_power_median_kw,month,event_phase,start_minutes_to_done,minutes_from_disconnect_at_start,fail_type,permutation_survived,charging_minutes,n_events
2_39_79_383_2018-11-05 16:33:43.710900,caltech,California_Garage_01,2-39-79-383,2018-11-05 16:39:00+00:00,2018-11-05 23:07:00+00:00,389.0,1.491266666666667,0.7308124999999999,0.7751233333333334,4.763677625859836,1.1897333333333333,2018-11,core_run_segment,388.65,472.93333333333334,largest_core_event,True,,
2_39_79_382_2018-11-09 16:28:55.950386,caltech,California_Garage_01,2-39-79-382,2018-11-09 16:34:00+00:00,2018-11-09 22:56:00+00:00,383.0,2.8031333333333337,0.6050625000000001,0.6793687499999999,4.1851510902249816,1.3155882352941175,2018-11,core_run_segment,528.0833333333334,528.1666666666666,largest_core_event,True,,
2_39_79_381_2019-04-24 16:49:01.077695,caltech,California_Garage_01,2-39-79-381,2019-04-24 16:55:00+00:00,2019-04-24 21:54:00+00:00,300.0,0.8580666666666668,0.646125,0.6875766666666665,3.1918997613211952,1.2738749999999999,2019-04,core_run_segment,516.0166666666667,590.7,largest_core_event,True,,
2_39_79_377_2019-05-15 17:10:39.016056,caltech,California_Garage_01,2-39-79-377,2019-05-15 17:16:00+00:00,2019-05-15 22:01:00+00:00,286.0,1.2604666666666666,0.6408333333333333,0.6930937499999998,3.0701266521836006,1.2791666666666668,2019-05,core_run_segment,286.6333333333333,532.35,largest_core_event,True,,
2_39_139_28_2019-10-16 05:40:08.078353,caltech,California_Garage_01,2-39-139-28,2019-10-16 05:53:00+00:00,2019-10-16 10:24:00+00:00,272.0,3.7736,1.3271249999999997,1.8583874999999985,6.319661370409275,3.472875,2019-10,core_run_segment,272.1,450.76666666666665,largest_core_event,True,,
2_39_92_442_2018-11-21 17:34:15.036267,caltech,California_Garage_01,2-39-92-442,2018-11-21 17:40:00+00:00,2018-11-21 22:06:00+00:00,267.0,6.969133333333333,4.0847999999999995,4.167030588235294,18.345219219965763,3.5436,2018-11,core_run_segment,266.4166666666667,600.6,largest_core_event,True,,
2_39_131_30_2018-11-22 21:21:11.013002,caltech,California_Garage_01,2-39-131-30,2018-11-22 21:27:00+00:00,2018-11-23 01:37:00+00:00,251.0,6.271315789473684,4.097722222222222,4.169233333333333,17.30129535869903,3.5632,2018-11,core_run_segment,251.16666666666666,650.25,largest_core_event,False,,
2_39_91_437_2019-10-07 16:38:10.475388,caltech,California_Garage_01,2-39-91-437,2019-10-07 17:14:00+00:00,2019-10-07 21:24:00+00:00,251.0,3.0501249999999995,1.330133333333333,1.4319979166666665,5.7388636315359465,3.4656666666666665,2019-10,core_run_segment,251.43333333333334,486.85,largest_core_event,True,,
2_39_79_381_2018-11-08 16:09:40.895271,caltech,California_Garage_01,2-39-79-381,2018-11-08 18:39:00+00:00,2018-11-08 22:41:00+00:00,243.0,1.8472,0.6198571428571429,1.1227274999999997,2.72675706301868,1.3010666666666666,2018-11,core_run_segment,252.55,252.73333333333332,largest_core_event,True,,
2_39_79_376_2018-11-14 19:02:24.346703,caltech,California_Garage_01,2-39-79-376,2018-11-14 19:08:00+00:00,2018-11-14 23:09:00+00:00,242.0,2.0204375000000003,0.618125,0.6277299999999999,2.6063807448221468,1.3020527777777777,2018-11,core_run_segment,308.6,308.6666666666667,largest_core_event,True,,
