month,station,n
2020-05,2-39-127-19,1
2020-05,2-39-131-30,2
2020-05,2-39-139-28,4
2020-05,2-39-89-25,1
2020-05,2-39-95-27,1
2020-06,2-39-124-22,1
2020-06,2-39-125-21,3
2020-06,2-39-126-20,1
2020-06,2-39-127-19,2
2020-06,2-39-129-17,3
2020-06,2-39-130-31,2
2020-06,2-39-131-30,3
2020-06,2-39-138-29,3
2020-06,2-39-139-28,4
2020-06,2-39-78-365,1
2020-06,2-39-79-377,1
2020-06,2-39-79-380,1
2020-06,2-39-79-382,2
2020-06,2-39-89-25,4
2020-06,2-39-89-439,1
2020-06,2-39-91-437,1
2020-06,2-39-91-441,1
2020-06,2-39-92-436,1
2020-07,2-39-125-21,6
2020-07,2-39-130-31,2
2020-07,2-39-131-30,4
2020-07,2-39-138-29,2
2020-07,2-39-139-28,1
2020-07,2-39-78-361,1
2020-07,2-39-79-377,1
2020-07,2-39-79-379,3
2020-07,2-39-79-380,4
2020-07,2-39-79-381,1
2020-07,2-39-79-382,1
2020-07,2-39-89-25,1
2020-07,2-39-91-437,4
2020-07,2-39-91-441,3
2020-07,2-39-95-27,1
2020-08,2-39-125-21,1
2020-08,2-39-130-31,1
2020-08,2-39-131-30,1
2020-08,2-39-139-28,2
2020-08,2-39-79-380,1
2020-08,2-39-91-437,1
2020-11,2-39-125-21,4
2020-11,2-39-128-18,2
2020-11,2-39-129-17,2
2020-11,2-39-130-31,2
2020-11,2-39-131-30,3
2020-11,2-39-138-29,2
2020-11,2-39-139-28,11
2020-11,2-39-78-360,1
2020-11,2-39-78-365,9
2020-11,2-39-79-379,4
2020-11,2-39-79-380,1
2020-11,2-39-81-4550,23
2020-11,2-39-83-386,2
2020-11,2-39-89-25,1
2020-11,2-39-91-437,1
2020-11,2-39-95-27,1
