station,sample_layer,n
2-105-277-1696,L0_static_extension,204
2-105-277-1697,L0_static_extension,160
2-105-277-1698,L0_static_extension,159
2-105-277-1699,L0_static_extension,185
2-137-440-2980,L0_static_extension,19
2-137-440-2981,L0_static_extension,12
2-137-440-2982,L0_static_extension,16
2-137-440-2983,L0_static_extension,19
2-137-440-2984,L0_static_extension,42
2-137-440-2985,L0_static_extension,12
2-137-440-2986,L0_static_extension,49
2-137-440-2987,L0_static_extension,10
2-137-440-2988,L0_static_extension,50
2-137-440-2989,L0_static_extension,47
2-137-440-2990,L0_static_extension,37
2-137-440-2991,L0_static_extension,38
2-137-440-2992,L0_static_extension,12
2-137-440-2993,L0_static_extension,73
2-137-440-2994,L0_static_extension,27
2-137-440-2995,L0_static_extension,29
2-137-440-2996,L0_static_extension,17
2-137-440-3971,L0_static_extension,33
2-137-440-3985,L0_static_extension,244
2-137-440-3986,L0_static_extension,137
2-137-440-3987,L0_static_extension,180
2-137-440-3988,L0_static_extension,148
2-137-440-3989,L0_static_extension,219
2-137-440-3990,L0_static_extension,125
2-137-440-3991,L0_static_extension,205
2-137-440-3992,L0_static_extension,146
2-137-440-3993,L0_static_extension,227
2-137-441-2997,L0_static_extension,6
2-137-441-2998,L0_static_extension,3
2-137-441-2999,L0_static_extension,25
2-137-441-3000,L0_static_extension,35
2-137-441-3001,L0_static_extension,14
2-137-441-3002,L0_static_extension,28
2-137-441-3003,L0_static_extension,76
2-137-441-3004,L0_static_extension,79
2-137-441-3005,L0_static_extension,41
2-137-441-3006,L0_static_extension,54
2-137-441-3007,L0_static_extension,4
2-137-441-3008,L0_static_extension,31
2-137-441-3009,L0_static_extension,25
2-137-441-3010,L0_static_extension,5
2-137-441-3011,L0_static_extension,13
2-137-441-3012,L0_static_extension,9
2-137-441-3013,L0_static_extension,9
2-137-441-3014,L0_static_extension,74
2-137-441-3015,L0_static_extension,65
2-137-441-3016,L0_static_extension,30
2-137-441-3017,L0_static_extension,28
2-137-441-3018,L0_static_extension,24
2-137-441-3019,L0_static_extension,18
2-137-441-3020,L0_static_extension,18
2-137-441-3021,L0_static_extension,19
2-137-441-3022,L0_static_extension,24
2-137-441-3023,L0_static_extension,24
2-137-521-3842,L0_static_extension,261
2-137-521-3843,L0_static_extension,684
2-137-521-3844,L0_static_extension,599
2-137-521-3845,L0_static_extension,945
2-154-492-3385,L0_static_extension,33
2-154-492-3386,L0_static_extension,31
2-154-492-3388,L0_static_extension,11
2-154-492-3389,L0_static_extension,4
2-154-492-3390,L0_static_extension,18
2-154-492-3391,L0_static_extension,7
2-39-124-22,L0_static_extension,1
2-39-124-22,L1_strict_matched,1
2-39-125-21,L0_static_extension,36
2-39-125-21,L1_strict_matched,14
2-39-126-20,L1_strict_matched,1
2-39-127-19,L0_static_extension,11
2-39-127-19,L1_strict_matched,3
2-39-128-18,L0_static_extension,7
2-39-128-18,L1_strict_matched,2
2-39-129-17,L0_static_extension,13
2-39-129-17,L1_strict_matched,5
2-39-130-31,L0_static_extension,9
2-39-130-31,L1_strict_matched,7
2-39-131-30,L0_static_extension,23
2-39-131-30,L1_strict_matched,13
2-39-138-29,L0_static_extension,10
2-39-138-29,L1_strict_matched,7
2-39-139-28,L0_static_extension,9
2-39-139-28,L1_strict_matched,22
2-39-78-360,L0_static_extension,4
2-39-78-360,L1_strict_matched,1
2-39-78-361,L0_static_extension,1
2-39-78-361,L1_strict_matched,1
2-39-78-362,L0_static_extension,3
2-39-78-363,L0_static_extension,4
2-39-78-364,L0_static_extension,2
2-39-78-365,L0_static_extension,31
2-39-78-365,L1_strict_matched,10
2-39-78-366,L0_static_extension,8
2-39-78-367,L0_static_extension,3
2-39-79-376,L0_static_extension,3
2-39-79-377,L0_static_extension,8
2-39-79-377,L1_strict_matched,2
2-39-79-378,L0_static_extension,4
2-39-79-379,L0_static_extension,11
2-39-79-379,L1_strict_matched,7
2-39-79-380,L0_static_extension,21
2-39-79-380,L1_strict_matched,7
2-39-79-381,L0_static_extension,5
2-39-79-381,L1_strict_matched,1
2-39-79-382,L0_static_extension,1
2-39-79-382,L1_strict_matched,3
2-39-79-383,L0_static_extension,2
2-39-81-4550,L0_static_extension,235
2-39-81-4550,L1_strict_matched,23
2-39-83-386,L0_static_extension,13
2-39-83-386,L1_strict_matched,2
2-39-83-387,L0_static_extension,1
2-39-88-24,L0_static_extension,2
2-39-89-25,L0_static_extension,9
2-39-89-25,L1_strict_matched,7
2-39-89-439,L1_strict_matched,1
2-39-90-26,L0_static_extension,4
2-39-90-440,L0_static_extension,1
2-39-91-437,L0_static_extension,7
2-39-91-437,L1_strict_matched,7
2-39-91-441,L1_strict_matched,4
2-39-92-436,L1_strict_matched,1
2-39-92-442,L0_static_extension,1
2-39-95-27,L0_static_extension,2
2-39-95-27,L1_strict_matched,3
2-6-3-1356,L0_static_extension,47
2-6-3-1357,L0_static_extension,55
2-6-3-1358,L0_static_extension,10
2-6-3-1359,L0_static_extension,33
2-6-3-1360,L0_static_extension,42
2-6-3-1361,L0_static_extension,183
2-6-3-1362,L0_static_extension,108
2-6-3-1363,L0_static_extension,106
2-6-3-1364,L0_static_extension,105
2-6-3-1365,L0_static_extension,54
2-6-3-1366,L0_static_extension,27
2-6-3-1368,L0_static_extension,66
2-6-3-1369,L0_static_extension,52
2-6-3-1623,L0_static_extension,106
2-6-3-1624,L0_static_extension,209
2-6-3-1625,L0_static_extension,200
2-6-3-1626,L0_static_extension,181
2-6-3-1627,L0_static_extension,224
2-6-3-1628,L0_static_extension,209
2-6-3-1629,L0_static_extension,297
2-6-3-1630,L0_static_extension,119
2-6-3-1631,L0_static_extension,275
2-6-3-1632,L0_static_extension,305
2-6-3-4515,L0_static_extension,200
2-6-65-4549,L0_static_extension,400
