site,cycle,month,day,n_active,n_sessions,median_elapsed,concurrency_bucket,elapsed_bucket,candidate_energy_A2_prev_actual_kwh
caltech,2020-05-11 01:45:00+00:00,2020-05,2020-05-11,2,2,177.53333333333333,2-3,120-239,0.12183880310457511
caltech,2020-05-11 01:50:00+00:00,2020-05,2020-05-11,2,2,182.53333333333333,2-3,120-239,0.07352965277777779
caltech,2020-05-11 01:55:00+00:00,2020-05,2020-05-11,2,2,187.53333333333333,2-3,120-239,0.12475812499999997
caltech,2020-06-08 20:10:00+00:00,2020-06,2020-06-08,2,2,222.69166666666666,2-3,120-239,0.11228231209150331
caltech,2020-06-08 20:15:00+00:00,2020-06,2020-06-08,2,2,227.69166666666666,2-3,120-239,0.06259275735294116
caltech,2020-06-18 17:55:00+00:00,2020-06,2020-06-18,2,3,89.85,2-3,60-119,0.077173888888889
caltech,2020-06-18 18:00:00+00:00,2020-06,2020-06-18,2,3,94.85,2-3,60-119,0.04971347222222222
caltech,2020-06-18 18:05:00+00:00,2020-06,2020-06-18,2,3,99.85,2-3,60-119,0.09564308006535957
caltech,2020-06-26 16:25:00+00:00,2020-06,2020-06-26,2,2,9.75,2-3,<30,0.06964749999999999
caltech,2020-06-30 20:50:00+00:00,2020-06,2020-06-30,2,2,44.2,2-3,30-59,0.09675937500000001
caltech,2020-06-30 20:55:00+00:00,2020-06,2020-06-30,2,2,49.2,2-3,30-59,0.12245416666666667
caltech,2020-07-02 16:20:00+00:00,2020-07,2020-07-02,2,2,252.20833333333331,2-3,240+,0.1662151388888888
caltech,2020-07-02 16:25:00+00:00,2020-07,2020-07-02,2,2,257.2083333333333,2-3,240+,0.12912027777777774
caltech,2020-07-02 16:30:00+00:00,2020-07,2020-07-02,2,2,262.2083333333333,2-3,240+,0.10916091911764703
caltech,2020-07-02 16:35:00+00:00,2020-07,2020-07-02,2,2,267.2083333333333,2-3,240+,0.11666989379084966
caltech,2020-07-13 19:00:00+00:00,2020-07,2020-07-13,2,2,153.74166666666667,2-3,120-239,0.06040430555555565
caltech,2020-07-15 21:20:00+00:00,2020-07,2020-07-15,2,3,44.68333333333333,2-3,30-59,0.06967052696078431
caltech,2020-07-15 21:25:00+00:00,2020-07,2020-07-15,2,3,49.68333333333333,2-3,30-59,0.06692312500000001
caltech,2020-07-16 17:00:00+00:00,2020-07,2020-07-16,2,2,93.78333333333333,2-3,60-119,0.0778763888888889
caltech,2020-07-16 17:05:00+00:00,2020-07,2020-07-16,2,2,98.78333333333333,2-3,60-119,0.05886208333333335
caltech,2020-07-16 17:10:00+00:00,2020-07,2020-07-16,2,2,103.78333333333333,2-3,60-119,0.06962916666666669
caltech,2020-07-17 23:55:00+00:00,2020-07,2020-07-17,2,3,68.31666666666666,2-3,60-119,0.2994154166666666
caltech,2020-07-19 19:00:00+00:00,2020-07,2020-07-19,2,2,112.75,2-3,60-119,0.152330102124183
caltech,2020-07-19 19:05:00+00:00,2020-07,2020-07-19,2,2,117.75,2-3,60-119,0.06350783905228762
caltech,2020-08-03 19:25:00+00:00,2020-08,2020-08-03,2,2,21.108333333333334,2-3,<30,0.05548154110767115
caltech,2020-08-03 19:30:00+00:00,2020-08,2020-08-03,2,2,26.108333333333334,2-3,<30,0.09640649746302028
caltech,2020-08-03 19:35:00+00:00,2020-08,2020-08-03,2,2,31.108333333333334,2-3,30-59,0.046819963235294075
caltech,2020-11-19 02:25:00+00:00,2020-11,2020-11-19,3,4,36.016666666666666,2-3,30-59,0.045917916666666635
caltech,2020-11-19 02:40:00+00:00,2020-11,2020-11-19,3,3,34.6,2-3,30-59,0.05101982434640565
caltech,2020-11-19 02:45:00+00:00,2020-11,2020-11-19,2,3,38.6,2-3,30-59,1.5083549999999997
caltech,2020-11-19 03:50:00+00:00,2020-11,2020-11-19,2,3,101.83333333333333,2-3,60-119,0.18088777777777784
caltech,2020-11-19 04:00:00+00:00,2020-11,2020-11-19,2,2,110.6,2-3,60-119,1.1749620138888885
caltech,2020-11-20 15:25:00+00:00,2020-11,2020-11-20,2,2,49.94166666666666,2-3,30-59,0.6898050000000002
caltech,2020-11-22 23:35:00+00:00,2020-11,2020-11-22,2,2,91.22500000000001,2-3,60-119,0.1485586111111111
caltech,2020-11-22 23:40:00+00:00,2020-11,2020-11-22,2,2,96.225,2-3,60-119,0.05003965686274512
caltech,2020-11-23 00:35:00+00:00,2020-11,2020-11-23,2,3,38.766666666666666,2-3,30-59,0.1374254861111111
caltech,2020-11-23 00:40:00+00:00,2020-11,2020-11-23,2,3,43.766666666666666,2-3,30-59,0.05443513888888891
caltech,2020-11-23 18:35:00+00:00,2020-11,2020-11-23,2,2,443.64166666666665,2-3,240+,0.41386722222222233
caltech,2020-11-23 18:40:00+00:00,2020-11,2020-11-23,2,2,448.64166666666665,2-3,240+,0.39771138888888896
caltech,2020-11-23 18:45:00+00:00,2020-11,2020-11-23,2,2,453.64166666666665,2-3,240+,0.39617805555555563
caltech,2020-11-23 18:50:00+00:00,2020-11,2020-11-23,2,2,458.64166666666665,2-3,240+,0.26383972222222213
caltech,2020-11-23 18:55:00+00:00,2020-11,2020-11-23,2,2,463.64166666666665,2-3,240+,0.22519333333333336
caltech,2020-11-23 19:00:00+00:00,2020-11,2020-11-23,2,2,468.64166666666665,2-3,240+,0.28830848595848596
caltech,2020-11-23 19:05:00+00:00,2020-11,2020-11-23,2,2,109.6,2-3,60-119,0.058937803724053696
caltech,2020-11-24 22:30:00+00:00,2020-11,2020-11-24,2,4,185.2,2-3,120-239,0.100262870869858
caltech,2020-11-24 23:25:00+00:00,2020-11,2020-11-24,2,5,116.58333333333333,2-3,60-119,0.27650694444444446
caltech,2020-11-26 00:35:00+00:00,2020-11,2020-11-26,2,3,57.43333333333333,2-3,30-59,0.08135208333333337
caltech,2020-11-26 00:40:00+00:00,2020-11,2020-11-26,2,3,62.43333333333333,2-3,60-119,0.05229548611111111
caltech,2020-11-27 23:45:00+00:00,2020-11,2020-11-27,2,3,67.88333333333334,2-3,60-119,0.045655076476064975
caltech,2020-11-28 23:30:00+00:00,2020-11,2020-11-28,2,2,45.483333333333334,2-3,30-59,0.08894410810401882
caltech,2020-11-29 00:15:00+00:00,2020-11,2020-11-29,3,4,42.25833333333333,2-3,30-59,0.08224361111111118
caltech,2020-11-29 00:20:00+00:00,2020-11,2020-11-29,3,4,47.25833333333333,2-3,30-59,0.15168722903050108
caltech,2020-11-29 00:25:00+00:00,2020-11,2020-11-29,3,4,52.25833333333333,2-3,30-59,0.0775361111111111
caltech,2020-11-29 00:30:00+00:00,2020-11,2020-11-29,3,4,57.25833333333333,2-3,30-59,0.06452548611111115
caltech,2020-11-29 01:05:00+00:00,2020-11,2020-11-29,2,4,92.25833333333334,2-3,60-119,0.0658393709150328
caltech,2020-11-29 01:20:00+00:00,2020-11,2020-11-29,2,4,107.25833333333333,2-3,60-119,0.06646086192810464
