stations_set,n_opp_cycles,opp_energy_kwh
2-39-125-21,5,0.3398887214052288
2-39-128-18,16,5.232092621702009
2-39-129-17,3,0.2225304411764708
2-39-130-31,7,3.30621302582247
2-39-131-30,25,5.579118692691557
2-39-138-29,16,3.7953363771600817
2-39-139-28,21,3.491502349773561
2-39-78-360,1,0.045655076476064975
2-39-78-365,17,4.002247404336573
2-39-79-377,2,0.17487506944444448
2-39-79-379,12,1.4538201666214918
2-39-79-380,5,0.41621149918300665
2-39-79-382,2,0.17487506944444448
2-39-81-4550,21,9.012026438629114
2-39-83-386,1,0.100262870869858
2-39-89-25,3,0.28886104166666665
2-39-91-437,12,1.062835522230822
2-39-91-441,4,0.28293474673202645
2-39-95-27,1,0.2994154166666666
