pool,split,month,n_valid_cycles,rate_A0_avg,n_candidate_A0_avg,energy_A0_avg_kwh,rate_A2_prev_actual,n_candidate_A2_prev_actual,energy_A2_prev_actual_kwh,rate_A3_rolling_quantile,n_candidate_A3_rolling_quantile,energy_A3_rolling_quantile_kwh,elimination_A2_prev_actual_vs_A0,elimination_A2_prev_actual_evaluable,elimination_A3_rolling_quantile_vs_A0,elimination_A3_rolling_quantile_evaluable,daily_candidate_energy_share_median
caltech,train,2018-11,7938,0.533006,4231,57017.462446,0.241497,1917,478.228612,0.407533,3235,3758.090168,0.546915,True,0.235406,True,0.040721
caltech,train,2018-12,8572,0.452753,3881,23448.436696,0.212902,1825,426.170299,0.329795,2827,2573.016802,0.529761,True,0.271579,True,0.04133
caltech,train,2019-01,8462,0.512881,4340,32548.698555,0.260222,2202,563.643604,0.401205,3395,3326.483771,0.492627,True,0.217743,True,0.048497
caltech,train,2019-02,7860,0.49313,3876,30925.702123,0.224173,1762,373.200862,0.367557,2889,2771.727578,0.545408,True,0.254645,True,0.039159
caltech,train,2019-03,8385,0.50161,4206,36800.225551,0.205844,1726,337.732343,0.349314,2929,2775.810944,0.589633,True,0.303614,True,0.038066
caltech,train,2019-04,8105,0.483652,3920,44344.907104,0.215423,1746,377.720858,0.356323,2888,3062.201104,0.554591,True,0.263266,True,0.042292
caltech,train,2019-05,8342,0.425557,3550,40214.263187,0.206186,1720,366.469801,0.316231,2638,3100.223142,0.515491,True,0.256901,True,0.046094
caltech,train,2019-06,8128,0.395792,3217,32067.297325,0.184916,1503,310.762142,0.287156,2334,2590.215418,0.532795,True,0.274478,True,0.041175
caltech,train,2019-07,7979,0.389773,3110,25372.034006,0.171826,1371,273.905024,0.287881,2297,2305.538098,0.559164,True,0.261414,True,0.042644
caltech,train,2019-08,6045,0.407444,2463,23490.555845,0.18627,1126,222.628815,0.318114,1923,1847.033558,0.542833,True,0.219245,True,0.040132
