station,n_valid_cycles_exposed,n_candidate_cycles_exposed,fraction_of_pool_candidate_exposed
2-39-123-23,21477,10907,0.6454610013019292
2-39-123-557,3866,2311,0.13676174695230206
2-39-124-22,13132,6239,0.369215291750503
2-39-124-558,5928,3392,0.2007338146526216
2-39-125-21,16883,7998,0.47331045094093976
2-39-125-559,298,140,0.008285004142502071
2-39-126-20,5436,2220,0.1313764942596757
2-39-126-560,2195,1330,0.07870753935376967
2-39-127-19,22806,8424,0.4985205349745532
2-39-127-561,591,299,0.01769440170434371
2-39-128-18,9371,3523,0.20848621138596285
2-39-128-562,1136,743,0.04396970055627885
2-39-129-17,21977,8645,0.5115990057995029
2-39-129-563,277,220,0.013019292223931826
2-39-130-31,13503,4617,0.27322760089951476
2-39-130-564,1394,914,0.05408924133033495
2-39-131-30,32291,11738,0.6946384187477808
2-39-131-565,1559,792,0.046869452006154576
2-39-138-29,16286,6403,0.37892058231743403
2-39-138-566,2389,1133,0.0670493549532489
2-39-139-28,38453,11223,0.6641614392235767
2-39-139-567,1273,657,0.03888034086874186
2-39-78-360,13426,7255,0.4293407503846609
2-39-78-361,11218,6336,0.3749556160492366
2-39-78-362,10952,5716,0.33826488341815597
2-39-78-363,13955,7485,0.44295182861877147
2-39-78-364,11908,6237,0.36909693454846726
2-39-78-365,17501,9463,0.5600071014321222
2-39-78-366,20078,11076,0.6554621848739496
2-39-78-367,11391,6292,0.3723517576044502
2-39-79-376,17032,8958,0.5301219079180968
2-39-79-377,24380,10978,0.6496626819741981
2-39-79-378,21186,9221,0.5456858799857971
2-39-79-379,27769,13006,0.7696768848384424
2-39-79-380,23335,11982,0.7090779973961415
2-39-79-381,18950,9453,0.5594153154219434
2-39-79-382,16189,7729,0.4573914072671322
2-39-79-383,18933,9867,0.5839152562433424
2-39-82-384,382,203,0.012013256006628004
2-39-82-385,81,13,0.0007693218132323352
2-39-83-386,5548,2846,0.16842229849686352
2-39-83-387,781,320,0.01893715232571902
2-39-88-24,14990,7296,0.43176707302639367
2-39-88-438,8047,4660,0.27577228074328325
2-39-89-25,29684,12432,0.7357083678541839
2-39-89-439,9987,5792,0.3427624570955143
2-39-90-26,15518,8021,0.4746715587643508
2-39-90-440,10827,5903,0.34933128180849804
2-39-91-437,26395,10842,0.6416143922357675
2-39-91-441,10260,5533,0.3274351994318854
2-39-92-436,14926,7431,0.43975618416380635
2-39-92-442,17003,8796,0.5205349745532015
2-39-95-27,23280,10351,0.6125576991359925
2-39-95-444,10623,6248,0.3697478991596639
