pool,split,month,n_valid_cycles,rate_A2_prev_actual,n_candidate_A2_prev_actual,energy_A2_prev_actual_kwh,rate_A3_rolling_quantile,n_candidate_A3_rolling_quantile,energy_A3_rolling_quantile_kwh,daily_candidate_energy_share_median
jpl,train,2018-11,5604,0.318879,1787,540.098643,0.470735,2638,4499.303731,0.035619
jpl,train,2018-12,4785,0.335423,1605,446.941239,0.500104,2393,3751.08223,0.029979
jpl,train,2019-01,5422,0.404279,2192,672.218708,0.563076,3053,5401.547673,0.03564
jpl,train,2019-02,4715,0.429905,2027,734.725111,0.593425,2798,5250.880201,0.03597
jpl,train,2019-03,5934,0.399393,2370,895.222772,0.546512,3243,6199.474073,0.043422
jpl,train,2019-04,5471,0.465363,2546,1003.700466,0.613782,3358,6480.643449,0.04725
jpl,train,2019-05,6760,0.396746,2682,876.222337,0.544083,3678,6467.186987,0.039525
jpl,train,2019-06,6017,0.365963,2202,753.148514,0.515872,3104,5536.867155,0.037627
jpl,train,2019-07,5817,0.397456,2312,840.17313,0.54272,3157,6021.34312,0.036596
jpl,train,2019-08,5904,0.418869,2473,891.560042,0.554878,3276,6134.248717,0.041423
