pool,split,concurrency_bucket,n_candidate_true,n_candidate_false,median_median_actual_kw_true,median_median_actual_kw_false,n_median_actual_kw_true_nonnull,n_median_actual_kw_false_nonnull,direction_median_actual_kw,obs_class_median_actual_kw,pre_action_median_actual_kw,median_median_recent_actual_q90_true,median_median_recent_actual_q90_false,n_median_recent_actual_q90_true_nonnull,n_median_recent_actual_q90_false_nonnull,direction_median_recent_actual_q90,obs_class_median_recent_actual_q90,pre_action_median_recent_actual_q90,median_median_recent_actual_var_true,median_median_recent_actual_var_false,n_median_recent_actual_var_true_nonnull,n_median_recent_actual_var_false_nonnull,direction_median_recent_actual_var,obs_class_median_recent_actual_var,pre_action_median_recent_actual_var,median_median_lagged_pilot_actual_ratio_true,median_median_lagged_pilot_actual_ratio_false,n_median_lagged_pilot_actual_ratio_true_nonnull,n_median_lagged_pilot_actual_ratio_false_nonnull,direction_median_lagged_pilot_actual_ratio,obs_class_median_lagged_pilot_actual_ratio,pre_action_median_lagged_pilot_actual_ratio,median_std_actual_kw_true,median_std_actual_kw_false,n_std_actual_kw_true_nonnull,n_std_actual_kw_false_nonnull,direction_std_actual_kw,obs_class_std_actual_kw,pre_action_std_actual_kw,median_median_elapsed_true,median_median_elapsed_false,n_median_elapsed_true_nonnull,n_median_elapsed_false_nonnull,direction_median_elapsed,obs_class_median_elapsed,pre_action_median_elapsed,median_pilot_available_at_start_true,median_pilot_available_at_start_false,n_pilot_available_at_start_true_nonnull,n_pilot_available_at_start_false_nonnull,direction_pilot_available_at_start,obs_class_pilot_available_at_start,pre_action_pilot_available_at_start,median_median_response_persistence_lagged_true,median_median_response_persistence_lagged_false,n_median_response_persistence_lagged_true_nonnull,n_median_response_persistence_lagged_false_nonnull,direction_median_response_persistence_lagged,obs_class_median_response_persistence_lagged,pre_action_median_response_persistence_lagged,median_lagged_severe_gap_rate_true,median_lagged_severe_gap_rate_false,n_lagged_severe_gap_rate_true_nonnull,n_lagged_severe_gap_rate_false_nonnull,direction_lagged_severe_gap_rate,obs_class_lagged_severe_gap_rate,pre_action_lagged_severe_gap_rate,median_history_coverage_true,median_history_coverage_false,n_history_coverage_true_nonnull,n_history_coverage_false_nonnull,direction_history_coverage,obs_class_history_coverage,pre_action_history_coverage
caltech,train,1,0,42706,,0.0,0,42706,nan,definitional,false,,0.0,0,42706,nan,baseline_related_history,true,,0.0,0,42706,nan,baseline_related_history,true,,1920000.0,0,42706,nan,baseline_related_history,true,,1.109764,0,31348,nan,baseline_related_history,false,,482.604167,0,42706,nan,independent_operational,true,,1.0,0,42706,nan,independent_operational,true,,0.0,0,42706,nan,independent_operational,true,,0.0,0,42706,nan,independent_operational,true,,1.0,0,42706,nan,independent_operational,true
caltech,train,2-3,4265,13390,0.0,1.668365,4265,13390,true<false,definitional,false,1.597402,1.800725,4265,13390,true<false,baseline_related_history,true,0.000281,0.000591,4265,13390,true<false,baseline_related_history,true,960000.782502,960000.569071,4265,13390,true>false,baseline_related_history,true,1.920882,2.598461,4265,13390,true<false,baseline_related_history,false,261.283333,218.754167,4265,13390,true>false,independent_operational,true,1.0,1.0,4265,13390,equal,independent_operational,true,0.0,0.001194,4265,13390,true<false,independent_operational,true,0.0,0.0,4265,13390,equal,independent_operational,true,1.0,1.0,4265,13390,equal,independent_operational,true
caltech,train,4-7,5012,4758,0.0,0.0,5012,4758,equal,definitional,false,0.0,1.668248,5012,4758,true<false,baseline_related_history,true,5.8e-05,0.000571,5012,4758,true<false,baseline_related_history,true,1920000.0,5.909086,5012,4758,true>false,baseline_related_history,true,2.023678,2.307905,5012,4758,true<false,baseline_related_history,false,225.5875,182.220833,5012,4758,true>false,independent_operational,true,1.0,1.0,5012,4758,equal,independent_operational,true,0.0,0.0,5012,4758,equal,independent_operational,true,0.0,0.0,5012,4758,equal,independent_operational,true,1.0,1.0,5012,4758,equal,independent_operational,true
caltech,train,8-15,6160,1860,0.758611,0.261806,6160,1860,true>false,definitional,false,3.134818,2.644086,6160,1860,true>false,baseline_related_history,true,0.047701,0.023444,6160,1860,true>false,baseline_related_history,true,1.314249,1.311805,6160,1860,true>false,baseline_related_history,true,2.272168,2.311554,6160,1860,true<false,baseline_related_history,false,130.870833,138.108333,6160,1860,true<false,independent_operational,true,1.0,1.0,6160,1860,equal,independent_operational,true,0.004239,0.002261,6160,1860,true>false,independent_operational,true,0.0,0.0,6160,1860,equal,independent_operational,true,1.0,1.0,6160,1860,equal,independent_operational,true
caltech,train,16+,1461,204,1.969703,2.400183,1461,204,true<false,definitional,false,3.361163,3.351527,1461,204,true>false,baseline_related_history,true,0.162309,0.117221,1461,204,true>false,baseline_related_history,true,1.200978,1.192435,1461,204,true>false,baseline_related_history,true,2.300767,2.394282,1461,204,true<false,baseline_related_history,false,88.7,79.3,1461,204,true>false,independent_operational,true,1.0,1.0,1461,204,equal,independent_operational,true,0.019029,0.012569,1461,204,true>false,independent_operational,true,0.0,0.0,1461,204,equal,independent_operational,true,0.974359,1.0,1461,204,true<false,independent_operational,true
caltech,validation,1,0,19223,,0.0,0,19223,nan,definitional,false,,0.0,0,19223,nan,baseline_related_history,true,,0.0,0,19223,nan,baseline_related_history,true,,1920000.0,0,19223,nan,baseline_related_history,true,,1.258836,0,9584,nan,baseline_related_history,false,,423.366667,0,19223,nan,independent_operational,true,,1.0,0,19223,nan,independent_operational,true,,0.0,0,19223,nan,independent_operational,true,,0.0,0,19223,nan,independent_operational,true,,1.0,0,19223,nan,independent_operational,true
caltech,validation,2-3,1576,4575,0.0,1.742069,1576,4575,true<false,definitional,false,0.0,2.288221,1576,4575,true<false,baseline_related_history,true,0.0,0.001214,1576,4575,true<false,baseline_related_history,true,1920000.0,2.302971,1576,4575,true>false,baseline_related_history,true,1.835242,2.163743,1576,4575,true<false,baseline_related_history,false,259.983333,194.15,1576,4575,true>false,independent_operational,true,1.0,1.0,1576,4575,equal,independent_operational,true,0.0,0.001787,1576,4575,true<false,independent_operational,true,0.0,0.0,1576,4575,equal,independent_operational,true,1.0,1.0,1576,4575,equal,independent_operational,true
caltech,validation,4-7,2127,1703,0.0,0.0,2127,1703,equal,definitional,false,0.007897,0.172974,2127,1703,true<false,baseline_related_history,true,0.000158,0.000465,2127,1703,true<false,baseline_related_history,true,1920000.0,960000.702689,2127,1703,true>false,baseline_related_history,true,2.176863,2.334097,2127,1703,true<false,baseline_related_history,false,208.4,192.958333,2127,1703,true>false,independent_operational,true,1.0,1.0,2127,1703,equal,independent_operational,true,0.0,0.0,2127,1703,equal,independent_operational,true,0.0,0.0,2127,1703,equal,independent_operational,true,1.0,1.0,2127,1703,equal,independent_operational,true
caltech,validation,8-15,2513,884,1.571014,1.730694,2513,884,true<false,definitional,false,3.302515,3.335915,2513,884,true<false,baseline_related_history,true,0.060854,0.06601,2513,884,true<false,baseline_related_history,true,1.278355,1.265647,2513,884,true>false,baseline_related_history,true,2.470165,2.469191,2513,884,true>false,baseline_related_history,false,109.266667,96.708333,2513,884,true>false,independent_operational,true,1.0,1.0,2513,884,equal,independent_operational,true,0.004647,0.004333,2513,884,true>false,independent_operational,true,0.0,0.0,2513,884,equal,independent_operational,true,1.0,1.0,2513,884,equal,independent_operational,true
caltech,validation,16+,341,61,1.834137,1.849359,341,61,true<false,definitional,false,3.37599,3.351272,341,61,true>false,baseline_related_history,true,0.224696,0.216201,341,61,true>false,baseline_related_history,true,1.184586,1.184829,341,61,true<false,baseline_related_history,true,2.321974,2.357928,341,61,true<false,baseline_related_history,false,79.733333,83.316667,341,61,true<false,independent_operational,true,1.0,1.0,341,61,equal,independent_operational,true,0.015407,0.010839,341,61,true>false,independent_operational,true,0.0,0.0,341,61,equal,independent_operational,true,1.0,1.0,341,61,equal,independent_operational,true
