layer,pool,split,field_mode,variable,bucket,bucket_rule_source,n_evaluable,n_e1_events,e1_evidence_rate,n_e3_valid_cycles,n_e3_candidates,e3_candidate_rate,daily_candidate_energy_share,a2_elimination,a3_elimination,direction_vs_reference,interpretation_scope,na_reason
opportunity,caltech,train,measured_pilot,n_active,1,pre_existing,19748,69.0,0.003494,20266,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_zero_not_evaluable
opportunity,caltech,train,measured_pilot,n_active,2-3,pre_existing,18141,218.0,0.012017,17655,4265,0.241575,0.034326,0.754391,0.444803,bucket<pooled,hypothesis,
opportunity,caltech,train,measured_pilot,n_active,4-7,pre_existing,10444,197.0,0.018863,9770,5012,0.512999,0.052085,0.485685,0.167778,bucket>pooled,hypothesis,
opportunity,caltech,train,measured_pilot,n_active,8-15,pre_existing,8809,390.0,0.044273,8020,6160,0.76808,0.054902,0.231824,0.009852,bucket>pooled,hypothesis,
opportunity,caltech,train,measured_pilot,n_active,16+,pre_existing,2420,192.0,0.079339,1665,1461,0.877477,0.046109,0.122523,0.000601,bucket>pooled,hypothesis,
opportunity,caltech,train,measured_pilot,elapsed,<30,pre_existing,2914,83.0,0.028483,2749,731,0.265915,0.021625,0.595909,0.380873,bucket>pooled,hypothesis,
opportunity,caltech,train,measured_pilot,elapsed,30-59,pre_existing,4753,186.0,0.039133,4694,1839,0.391777,0.033977,0.511943,0.271762,bucket>pooled,hypothesis,
opportunity,caltech,train,measured_pilot,elapsed,60-119,pre_existing,8507,276.0,0.032444,8426,3509,0.416449,0.043987,0.473044,0.232618,bucket>pooled,hypothesis,
opportunity,caltech,train,measured_pilot,elapsed,120-239,pre_existing,14826,261.0,0.017604,14703,5352,0.364007,0.05011,0.501026,0.223755,bucket>pooled,hypothesis,
opportunity,caltech,train,measured_pilot,elapsed,240+,pre_existing,49521,260.0,0.00525,49244,5467,0.111019,0.036632,0.604757,0.273062,bucket<pooled,hypothesis,
opportunity,caltech,train,measured_pilot,recent_actual_q90,Q1,train_quartile_ecdf,41684,207.0,0.004966,41415,5131,0.123892,0.038635,0.577034,0.221664,bucket<pooled,hypothesis,
opportunity,caltech,train,measured_pilot,recent_actual_q90,Q2,train_quartile_ecdf,18598,403.0,0.021669,18447,6210,0.33664,0.045513,0.471804,0.201752,bucket>pooled,hypothesis,
opportunity,caltech,train,measured_pilot,recent_actual_q90,Q3,train_quartile_ecdf,20072,451.0,0.022469,19954,5557,0.278491,0.035562,0.569425,0.339222,bucket>pooled,hypothesis,
evidence,caltech,train,measured_pilot,recent_var,Q1,train_quartile_ecdf,24700,96.0,0.003887,24591,2007,0.081615,0.027921,0.641351,0.274303,bucket<pooled,hypothesis,
evidence,caltech,train,measured_pilot,recent_var,Q2,train_quartile_ecdf,15451,93.0,0.006019,15317,2645,0.172684,0.044843,0.531361,0.183026,bucket<pooled,hypothesis,
