dimension,value,events,sessions,rf_3m_median
site,caltech,16397,5652,0.08523141996219426
station_id,2-105-277-1696,213,89,0.006273437155336063
station_id,2-105-277-1697,511,118,0.0
station_id,2-105-277-1698,322,86,0.0
station_id,2-105-277-1699,337,119,0.0
station_id,2-137-440-2984,1,1,0.0
station_id,2-137-440-2991,3,2,0.0
station_id,2-137-441-3010,3,1,0.0
station_id,2-137-441-3017,1,1,0.07653988556041741
station_id,2-137-441-3022,5,1,0.0
station_id,2-39-123-23,170,93,0.0034749088493401794
station_id,2-39-123-557,45,20,0.029905145050564665
station_id,2-39-124-22,161,78,0.27443727372894716
station_id,2-39-124-558,40,23,0.007867057706791783
station_id,2-39-125-21,164,97,0.004847783535862611
station_id,2-39-126-20,54,31,0.0524809262492275
station_id,2-39-126-560,27,12,0.16869728209934387
station_id,2-39-127-19,207,96,0.06665684034686792
station_id,2-39-127-561,4,3,0.0006041079339506504
station_id,2-39-128-18,99,43,0.3779702212166424
station_id,2-39-128-562,26,10,0.7326396562833652
station_id,2-39-129-17,208,103,0.01654587824325406
station_id,2-39-129-563,2,1,0.33668400070157806
station_id,2-39-130-31,109,61,0.0
station_id,2-39-130-564,21,8,0.0
station_id,2-39-131-30,293,147,0.0023748779489117253
station_id,2-39-131-565,27,7,0.020629324977151395
station_id,2-39-138-29,171,95,0.0029039406085926856
station_id,2-39-138-566,29,10,0.0
station_id,2-39-139-28,413,206,0.007035770647027836
station_id,2-39-139-567,21,4,0.28270532089180145
station_id,2-39-79-376,773,194,0.2656271371905346
station_id,2-39-79-377,681,196,0.41753696388810885
station_id,2-39-79-378,763,182,0.11608787878019916
station_id,2-39-79-379,755,197,0.1432962160528041
station_id,2-39-79-380,604,146,0.249432078675852
station_id,2-39-79-381,1065,169,0.0040511390540326295
station_id,2-39-79-382,466,119,0.5912321909639484
station_id,2-39-79-383,767,173,0.25139664804469314
station_id,2-39-82-384,1,1,0.001180583934977242
station_id,2-39-83-386,88,29,0.008345640267364318
station_id,2-39-83-387,9,5,0.005044456541462586
station_id,2-39-88-24,165,95,0.18535517959118328
station_id,2-39-88-438,124,47,0.09633359613338191
station_id,2-39-89-25,250,136,0.03831776749513814
station_id,2-39-89-439,110,45,0.039596033020580276
station_id,2-39-90-26,187,89,0.02265951103160292
station_id,2-39-90-440,156,73,0.21150952250512867
station_id,2-39-91-437,166,102,0.004952987737022375
station_id,2-39-91-441,176,67,0.05787134570576012
station_id,2-39-92-436,201,76,0.19896719333015903
station_id,2-39-92-442,292,97,0.20773435842543309
station_id,2-39-95-27,256,115,0.03346328066835151
station_id,2-39-95-444,227,83,0.08405110536893469
station_id,2-6-3-1623,499,194,0.14442421487929935
station_id,2-6-3-1624,440,147,0.01141683539154342
station_id,2-6-3-1625,429,162,0.09340650429502298
station_id,2-6-3-1626,466,159,0.1537519291704451
station_id,2-6-3-1627,429,177,0.20499928713675766
station_id,2-6-3-1628,450,193,0.2943755887284729
station_id,2-6-3-1629,478,181,0.3262000930332985
station_id,2-6-3-1630,261,109,0.6970111685735063
station_id,2-6-3-1631,565,163,0.0874723054849673
station_id,2-6-3-1632,411,165,0.2653812729987385
month,2018-11,1129,354,0.1269084605640376
month,2018-12,1297,391,0.21249557544498404
month,2019-01,1566,472,0.12689276811308225
month,2019-02,851,293,0.009271028037382901
month,2019-03,781,257,0.015489200585148152
month,2019-04,1099,402,0.01921401815757776
month,2019-05,1137,390,0.026862797718056348
month,2019-06,1161,369,0.008295884964094497
month,2019-07,977,344,0.017040527582169916
month,2019-08,1206,437,0.12587881567762754
month,2019-09,1126,422,0.4151660175690849
month,2019-10,1349,485,0.5027087764356514
month,2019-11,1048,367,0.42663426754279477
month,2019-12,2,2,1.0
month,2020-01,1050,409,0.03954852865603645
month,2020-02,5,2,0.0
month,2020-03,568,243,0.019474558080888486
month,2020-04,1,1,2.0
month,2020-05,44,24,0.09136949120952342
session_phase,early,1094,1046,0.2414416759210506
session_phase,late,8281,2775,0.01283160322952697
session_phase,mid,7022,3665,0.19089104066129708
actual_before_bin,high,5383,2651,0.1400021961128803
actual_before_bin,low,6980,2763,0.0028984499696966806
actual_before_bin,mid,4034,2284,0.3772735647418707
step_magnitude_bin,large,546,504,0.8043097285044393
step_magnitude_bin,medium,4751,2479,0.16129476110212929
step_magnitude_bin,small,11100,4351,0.03446793653671451
previous_pilot_bin,high,5767,2807,0.17513727814511498
previous_pilot_bin,low,5946,2481,0.005045269264934564
previous_pilot_bin,mid,4684,2478,0.16869762417914297
