hour,periods,ev_p95_kw,down_reliable_p95_kw
0,16133,48.43157891647057,28.347185466555153
1,14878,32.99641110124056,19.312923636678523
2,13695,21.005115007647053,12.294372890362176
3,12437,17.44354730392156,10.209773905403935
4,10870,17.094261264705878,10.005335471719954
5,9562,14.02751908333333,8.210359727827546
6,8636,11.719615838007172,6.859535269947313
7,7746,10.535883482142857,6.1666922657512115
8,6783,9.421562703324703,5.514476118908804
9,5855,7.042166249999999,4.121806417241885
10,5473,6.985921980392157,4.088886434501818
11,5736,6.927030871666666,4.054417246861833
12,7547,15.816182238774504,9.257271006353747
13,9887,56.319336561029395,32.96391971036704
14,11342,136.5751923062896,79.9379742112889
15,13392,138.92720020711835,81.3146132900723
16,15181,137.0531217333333,80.21770810416278
17,16248,129.74910657777775,75.94264053673622
18,16743,116.02667903244397,67.91085203465512
19,16985,100.44747474398098,58.79228511475188
20,17082,86.00137885802053,50.33693080856188
21,17112,71.07907137621523,41.60284806256569
22,16938,61.241357169226184,35.844796901907685
23,16861,56.72442234591504,33.20101794525678
