sessionID,site,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,n_userInputs,kWhRequested_last,requestedDeparture_last,minutesAvailable_last,modifiedAt_last,kWhRequested_first
2_39_89_439_2018-11-30 22:51:04.542740,0002,"Fri, 30 Nov 2018 22:51:05 GMT","Sat, 01 Dec 2018 00:09:42 GMT","Sat, 01 Dec 2018 00:09:33 GMT",8.244,1,27.72,"Sat, 01 Dec 2018 03:46:05 GMT",295.0,"Fri, 30 Nov 2018 22:52:43 GMT",27.72
2_39_123_23_2018-11-30 22:31:24.027960,0002,"Fri, 30 Nov 2018 22:31:24 GMT","Fri, 30 Nov 2018 23:28:24 GMT","Fri, 30 Nov 2018 22:43:09 GMT",1.065,1,6.0,"Fri, 30 Nov 2018 23:17:24 GMT",46.0,"Fri, 30 Nov 2018 22:31:53 GMT",6.0
2_39_124_22_2018-11-30 22:11:01.937115,0002,"Fri, 30 Nov 2018 22:11:02 GMT","Sat, 01 Dec 2018 03:02:38 GMT","Fri, 30 Nov 2018 22:31:15 GMT",0.92,2,3.5,"Sat, 01 Dec 2018 02:23:02 GMT",252.0,"Fri, 30 Nov 2018 22:11:56 GMT",7.0
2_39_78_366_2018-11-30 22:01:27.053871,0002,"Fri, 30 Nov 2018 22:01:27 GMT","Sat, 01 Dec 2018 00:50:47 GMT","Fri, 30 Nov 2018 22:48:12 GMT",2.837,1,20.0,"Sat, 01 Dec 2018 06:30:27 GMT",509.0,"Fri, 30 Nov 2018 22:01:44 GMT",20.0
2_39_125_21_2018-11-30 21:46:16.065825,0002,"Fri, 30 Nov 2018 21:46:16 GMT","Sat, 01 Dec 2018 02:36:42 GMT","Fri, 30 Nov 2018 23:48:29 GMT",6.64,1,8.0,"Fri, 30 Nov 2018 22:39:16 GMT",53.0,"Fri, 30 Nov 2018 21:46:17 GMT",8.0
2_39_95_444_2018-11-30 21:01:32.307441,0002,"Fri, 30 Nov 2018 21:01:32 GMT","Sat, 01 Dec 2018 01:56:14 GMT","Fri, 30 Nov 2018 23:12:38 GMT",14.41,2,32.0,"Sat, 01 Dec 2018 01:11:32 GMT",250.0,"Fri, 30 Nov 2018 21:01:59 GMT",32.0
2_39_88_24_2018-11-30 20:59:08.739287,0002,"Fri, 30 Nov 2018 20:59:09 GMT","Sat, 01 Dec 2018 00:02:07 GMT","Fri, 30 Nov 2018 22:06:55 GMT",2.061,1,5.46,"Fri, 30 Nov 2018 23:50:09 GMT",171.0,"Fri, 30 Nov 2018 20:59:23 GMT",5.46
2_39_78_365_2018-11-30 20:39:16.046684,0002,"Fri, 30 Nov 2018 20:39:16 GMT","Fri, 30 Nov 2018 23:06:52 GMT","Fri, 30 Nov 2018 21:49:39 GMT",4.078,1,9.99,"Fri, 30 Nov 2018 22:37:16 GMT",118.0,"Fri, 30 Nov 2018 20:40:33 GMT",9.99
2_39_78_361_2018-11-30 20:38:28.005179,0002,"Fri, 30 Nov 2018 20:38:28 GMT","Sat, 01 Dec 2018 01:25:00 GMT","Sat, 01 Dec 2018 00:08:25 GMT",6.06,1,7.5,"Sat, 01 Dec 2018 05:19:28 GMT",521.0,"Fri, 30 Nov 2018 20:39:41 GMT",7.5
2_39_127_19_2018-11-30 20:31:15.584584,0002,"Fri, 30 Nov 2018 20:31:16 GMT","Fri, 30 Nov 2018 22:41:26 GMT","Fri, 30 Nov 2018 22:41:21 GMT",6.025,2,20.0,"Fri, 30 Nov 2018 23:09:16 GMT",158.0,"Fri, 30 Nov 2018 20:33:14 GMT",20.0
2_39_89_25_2018-11-30 19:39:33.972150,0002,"Fri, 30 Nov 2018 19:39:34 GMT","Sat, 01 Dec 2018 00:40:10 GMT","Fri, 30 Nov 2018 20:57:39 GMT",7.887,2,8.0,"Sat, 01 Dec 2018 00:34:34 GMT",295.0,"Fri, 30 Nov 2018 19:40:46 GMT",8.0
2_39_78_360_2018-11-30 18:22:53.848729,0002,"Fri, 30 Nov 2018 18:22:54 GMT","Sat, 01 Dec 2018 03:16:39 GMT","Sat, 01 Dec 2018 03:02:59 GMT",11.483,1,13.32,"Sat, 01 Dec 2018 02:56:54 GMT",514.0,"Fri, 30 Nov 2018 18:22:56 GMT",13.32
2_39_79_376_2018-11-30 18:16:01.735988,0002,"Fri, 30 Nov 2018 18:16:02 GMT","Sat, 01 Dec 2018 01:37:05 GMT","Fri, 30 Nov 2018 22:41:42 GMT",7.004,1,16.0,"Fri, 30 Nov 2018 19:16:02 GMT",60.0,"Fri, 30 Nov 2018 18:16:13 GMT",16.0
2_39_95_27_2018-11-30 18:03:13.384604,0002,"Fri, 30 Nov 2018 18:03:13 GMT","Sat, 01 Dec 2018 02:53:18 GMT","Fri, 30 Nov 2018 22:52:11 GMT",13.217,1,13.32,"Sat, 01 Dec 2018 01:07:13 GMT",424.0,"Fri, 30 Nov 2018 18:05:59 GMT",13.32
2_39_90_26_2018-11-30 17:54:02.503270,0002,"Fri, 30 Nov 2018 17:54:02 GMT","Sat, 01 Dec 2018 01:51:08 GMT","Fri, 30 Nov 2018 19:35:34 GMT",4.855,4,18.0,"Fri, 30 Nov 2018 22:37:02 GMT",283.0,"Sat, 01 Dec 2018 01:50:19 GMT",12.0
2_39_92_436_2018-11-30 17:46:03.713787,0002,"Fri, 30 Nov 2018 17:46:04 GMT","Sat, 01 Dec 2018 01:51:55 GMT","Fri, 30 Nov 2018 19:30:55 GMT",10.048,1,20.0,"Fri, 30 Nov 2018 22:31:04 GMT",285.0,"Fri, 30 Nov 2018 17:48:12 GMT",20.0
2_39_78_361_2018-11-30 17:43:30.176850,0002,"Fri, 30 Nov 2018 17:43:30 GMT","Fri, 30 Nov 2018 17:57:48 GMT","Fri, 30 Nov 2018 17:57:44 GMT",1.299,1,32.0,"Sat, 01 Dec 2018 00:48:30 GMT",425.0,"Fri, 30 Nov 2018 17:43:38 GMT",32.0
2_39_78_362_2018-11-30 17:36:05.572013,0002,"Fri, 30 Nov 2018 17:36:06 GMT","Sat, 01 Dec 2018 01:39:02 GMT","Sat, 01 Dec 2018 01:39:59 GMT",3.922,1,4.0,"Sat, 01 Dec 2018 00:20:06 GMT",404.0,"Fri, 30 Nov 2018 17:36:07 GMT",4.0
2_39_90_440_2018-11-30 17:21:45.594689,0002,"Fri, 30 Nov 2018 17:21:46 GMT","Sat, 01 Dec 2018 01:28:38 GMT","Fri, 30 Nov 2018 18:57:07 GMT",4.763,1,8.0,"Sat, 01 Dec 2018 01:24:46 GMT",483.0,"Fri, 30 Nov 2018 17:22:06 GMT",8.0
2_39_78_363_2018-11-30 17:18:45.536941,0002,"Fri, 30 Nov 2018 17:18:46 GMT","Sat, 01 Dec 2018 03:56:19 GMT","Fri, 30 Nov 2018 20:05:45 GMT",6.768,1,9.99,"Fri, 30 Nov 2018 21:23:46 GMT",245.0,"Fri, 30 Nov 2018 17:18:58 GMT",9.99
2_39_78_364_2018-11-30 17:00:45.187220,0002,"Fri, 30 Nov 2018 17:00:45 GMT","Sat, 01 Dec 2018 00:57:46 GMT","Sat, 01 Dec 2018 00:57:42 GMT",19.543,1,40.0,"Sat, 01 Dec 2018 00:58:45 GMT",478.0,"Fri, 30 Nov 2018 17:00:55 GMT",40.0
2_39_91_441_2018-11-30 17:00:17.990749,0002,"Fri, 30 Nov 2018 17:00:18 GMT","Sat, 01 Dec 2018 00:27:14 GMT","Fri, 30 Nov 2018 20:05:46 GMT",19.253,1,25.0,"Fri, 30 Nov 2018 21:54:18 GMT",294.0,"Fri, 30 Nov 2018 17:00:39 GMT",25.0
2_39_89_25_2018-11-30 16:59:26.543581,0002,"Fri, 30 Nov 2018 16:59:27 GMT","Fri, 30 Nov 2018 18:19:03 GMT","Fri, 30 Nov 2018 18:18:58 GMT",4.617,1,20.0,"Fri, 30 Nov 2018 18:30:27 GMT",91.0,"Fri, 30 Nov 2018 16:59:27 GMT",20.0
2_39_128_18_2018-11-30 16:56:34.614050,0002,"Fri, 30 Nov 2018 16:56:35 GMT","Sat, 01 Dec 2018 01:38:08 GMT","Fri, 30 Nov 2018 18:40:48 GMT",5.144,1,6.0,"Fri, 30 Nov 2018 20:24:35 GMT",208.0,"Fri, 30 Nov 2018 16:57:36 GMT",6.0
2_39_91_437_2018-11-30 16:48:39.331308,0002,"Fri, 30 Nov 2018 16:48:39 GMT","Sat, 01 Dec 2018 05:19:57 GMT","Fri, 30 Nov 2018 17:51:38 GMT",2.094,1,8.0,"Fri, 30 Nov 2018 20:24:39 GMT",216.0,"Fri, 30 Nov 2018 16:48:58 GMT",8.0
2_39_123_23_2018-11-30 16:38:26.677452,0002,"Fri, 30 Nov 2018 16:38:27 GMT","Fri, 30 Nov 2018 22:30:41 GMT","Fri, 30 Nov 2018 22:31:39 GMT",13.624,3,20.0,"Fri, 30 Nov 2018 22:21:27 GMT",343.0,"Fri, 30 Nov 2018 19:31:58 GMT",16.0
2_39_129_17_2018-11-30 16:37:41.700977,0002,"Fri, 30 Nov 2018 16:37:42 GMT","Sat, 01 Dec 2018 02:54:48 GMT","Fri, 30 Nov 2018 18:03:08 GMT",4.848,1,8.0,"Sat, 01 Dec 2018 01:06:42 GMT",509.0,"Fri, 30 Nov 2018 16:38:00 GMT",8.0
2_39_138_29_2018-11-30 16:29:17.263359,0002,"Fri, 30 Nov 2018 16:29:17 GMT","Sat, 01 Dec 2018 01:32:27 GMT","Fri, 30 Nov 2018 19:34:33 GMT",12.749,1,15.65,"Sat, 01 Dec 2018 01:25:17 GMT",536.0,"Fri, 30 Nov 2018 16:31:49 GMT",15.65
2_39_131_30_2018-11-30 16:27:32.742827,0002,"Fri, 30 Nov 2018 16:27:33 GMT","Fri, 30 Nov 2018 21:11:05 GMT","Fri, 30 Nov 2018 18:12:15 GMT",5.424,1,7.0,"Fri, 30 Nov 2018 20:39:33 GMT",252.0,"Fri, 30 Nov 2018 16:27:49 GMT",7.0
2_39_92_442_2018-11-30 16:07:13.662627,0002,"Fri, 30 Nov 2018 16:07:14 GMT","Sat, 01 Dec 2018 01:24:38 GMT","Fri, 30 Nov 2018 23:51:22 GMT",50.615,1,52.5,"Sat, 01 Dec 2018 00:40:14 GMT",513.0,"Fri, 30 Nov 2018 16:07:55 GMT",52.5
2_39_79_383_2018-11-30 16:04:42.210238,0002,"Fri, 30 Nov 2018 16:04:42 GMT","Sat, 01 Dec 2018 00:24:35 GMT","Fri, 30 Nov 2018 19:51:10 GMT",10.816,1,22.5,"Sat, 01 Dec 2018 01:04:42 GMT",540.0,"Fri, 30 Nov 2018 16:04:45 GMT",22.5
2_39_79_381_2018-11-30 15:58:29.053356,0002,"Fri, 30 Nov 2018 15:58:29 GMT","Sat, 01 Dec 2018 01:01:50 GMT","Fri, 30 Nov 2018 23:08:08 GMT",29.878,1,30.0,"Sat, 01 Dec 2018 00:01:29 GMT",483.0,"Fri, 30 Nov 2018 16:01:06 GMT",30.0
2_39_79_378_2018-11-30 15:56:44.627984,0002,"Fri, 30 Nov 2018 15:56:45 GMT","Sat, 01 Dec 2018 05:46:00 GMT","Fri, 30 Nov 2018 21:39:08 GMT",14.879,1,18.2,"Sat, 01 Dec 2018 00:44:45 GMT",528.0,"Fri, 30 Nov 2018 15:56:53 GMT",18.2
2_39_139_28_2018-11-30 15:39:26.452580,0002,"Fri, 30 Nov 2018 15:39:26 GMT","Fri, 30 Nov 2018 19:20:26 GMT","Fri, 30 Nov 2018 18:06:16 GMT",15.263,2,56.25,"Fri, 30 Nov 2018 18:59:26 GMT",200.0,"Fri, 30 Nov 2018 15:40:02 GMT",56.25
