sessionID,site,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,n_userInputs,kWhRequested_last,requestedDeparture_last,minutesAvailable_last,modifiedAt_last,kWhRequested_first,t_slack_h,connection_age_min,reported_remaining_min,reported_minutes_available,requested_kwh,reported_need_min,split
2_39_123_23_2019-02-01 01:50:15.148759,caltech,"Fri, 01 Feb 2019 01:50:15 GMT","Fri, 01 Feb 2019 04:04:26 GMT","Fri, 01 Feb 2019 02:14:05 GMT",1.055,1,50.0,"Fri, 01 Feb 2019 04:00:15 GMT",130.0,"Fri, 01 Feb 2019 01:50:32 GMT",50.0,1.8391666666666666,0.2833333333333333,129.71666666666667,130.0,50.0,416.6666666666667,train
2_39_79_383_2019-02-01 02:03:35.169420,caltech,"Fri, 01 Feb 2019 02:03:35 GMT","Fri, 01 Feb 2019 05:16:45 GMT","Fri, 01 Feb 2019 05:16:41 GMT",10.611,1,18.0,"Fri, 01 Feb 2019 05:03:35 GMT",180.0,"Fri, 01 Feb 2019 02:06:10 GMT",18.0,0.0011111111111111111,2.5833333333333335,177.41666666666666,180.0,18.0,150.0,train
2_39_125_21_2019-02-01 02:13:43.360935,caltech,"Fri, 01 Feb 2019 02:13:43 GMT","Fri, 01 Feb 2019 03:26:53 GMT","Fri, 01 Feb 2019 03:26:50 GMT",4.022,1,15.75,"Fri, 01 Feb 2019 05:03:43 GMT",170.0,"Fri, 01 Feb 2019 02:13:48 GMT",15.75,0.0008333333333333334,0.08333333333333333,169.91666666666666,170.0,15.75,131.25,train
2_39_139_28_2019-02-01 02:46:37.387497,caltech,"Fri, 01 Feb 2019 02:46:37 GMT","Fri, 01 Feb 2019 14:20:07 GMT","Fri, 01 Feb 2019 07:13:12 GMT",15.582,1,30.31,"Fri, 01 Feb 2019 07:53:37 GMT",307.0,"Fri, 01 Feb 2019 02:46:52 GMT",30.31,7.115277777777778,0.25,306.75,307.0,30.31,252.58333333333331,train
2_39_127_19_2019-02-01 03:25:24.707059,caltech,"Fri, 01 Feb 2019 03:25:25 GMT","Fri, 01 Feb 2019 15:03:11 GMT","Fri, 01 Feb 2019 05:21:12 GMT",12.535,1,15.0,"Fri, 01 Feb 2019 05:58:25 GMT",153.0,"Fri, 01 Feb 2019 03:25:36 GMT",15.0,9.699722222222222,0.18333333333333332,152.81666666666666,153.0,15.0,125.00000000000001,train
2_39_123_23_2019-02-01 14:02:42.165943,caltech,"Fri, 01 Feb 2019 14:02:42 GMT","Fri, 01 Feb 2019 22:30:55 GMT","Fri, 01 Feb 2019 21:52:22 GMT",51.941,1,63.0,"Fri, 01 Feb 2019 22:52:42 GMT",530.0,"Fri, 01 Feb 2019 14:02:55 GMT",63.0,0.6425,0.21666666666666667,529.7833333333333,530.0,63.0,525.0,train
2_39_78_366_2019-02-01 15:19:16.542369,caltech,"Fri, 01 Feb 2019 15:19:17 GMT","Sat, 02 Feb 2019 01:10:24 GMT","Sat, 02 Feb 2019 00:19:58 GMT",10.193,1,15.0,"Sat, 02 Feb 2019 00:43:17 GMT",564.0,"Fri, 01 Feb 2019 15:19:29 GMT",15.0,0.8405555555555555,0.2,563.8,564.0,15.0,125.00000000000001,train
2_39_79_379_2019-02-01 15:49:59.014170,caltech,"Fri, 01 Feb 2019 15:49:59 GMT","Sat, 02 Feb 2019 05:23:36 GMT","Fri, 01 Feb 2019 21:03:23 GMT",15.987,1,21.84,"Sat, 02 Feb 2019 02:58:59 GMT",669.0,"Fri, 01 Feb 2019 15:50:07 GMT",21.84,8.336944444444445,0.13333333333333333,668.8666666666667,669.0,21.84,182.0,train
2_39_79_380_2019-02-01 16:00:37.466390,caltech,"Fri, 01 Feb 2019 16:00:37 GMT","Sat, 02 Feb 2019 01:32:56 GMT","Fri, 01 Feb 2019 19:47:08 GMT",9.82,1,20.0,"Fri, 01 Feb 2019 22:58:37 GMT",418.0,"Fri, 01 Feb 2019 16:01:30 GMT",20.0,5.763333333333334,0.8833333333333333,417.1166666666667,418.0,20.0,166.66666666666666,train
2_39_79_377_2019-02-01 16:05:17.003660,caltech,"Fri, 01 Feb 2019 16:05:17 GMT","Fri, 01 Feb 2019 18:35:37 GMT","Fri, 01 Feb 2019 18:13:13 GMT",5.423,1,8.0,"Fri, 01 Feb 2019 18:16:17 GMT",131.0,"Fri, 01 Feb 2019 16:06:06 GMT",8.0,0.37333333333333335,0.8166666666666667,130.18333333333334,131.0,8.0,66.66666666666667,train
