,value
matched_sessions,40644.0
api_sessions_loaded,51234.0
matched_with_userinputs,36364.0
userinput_coverage_matched,0.8946954039956697
matched_with_offline_outcome,40644.0
modifiedAt_coverage,1.0
kWhRequested_coverage,1.0
minutesAvailable_coverage,1.0
requestedDeparture_coverage,1.0
n_multiple_userinputs,6080.0
requested_departure_n,36364.0
departure_deviation_hours_median,1.4104166666666667
departure_deviation_hours_p90,5.995583333333334
kwh_requested_delivered_n,36364.0
delivered_to_requested_median,0.59525
