sessionID,kWhRequested,minutesAvailable,requestedDeparture,modifiedAt,n_userInputs,disconnectTime,doneChargingTime,kWhDelivered
2_39_89_439_2018-11-30 22:51:04.542740,27.72,295,"Sat, 01 Dec 2018 03:46:05 GMT","Fri, 30 Nov 2018 22:52:43 GMT",1,"Sat, 01 Dec 2018 00:09:42 GMT","Sat, 01 Dec 2018 00:09:33 GMT",8.244
2_39_123_23_2018-11-30 22:31:24.027960,6.0,46,"Fri, 30 Nov 2018 23:17:24 GMT","Fri, 30 Nov 2018 22:31:53 GMT",1,"Fri, 30 Nov 2018 23:28:24 GMT","Fri, 30 Nov 2018 22:43:09 GMT",1.065
2_39_124_22_2018-11-30 22:11:01.937115,3.5,252,"Sat, 01 Dec 2018 02:23:02 GMT","Fri, 30 Nov 2018 22:11:56 GMT",2,"Sat, 01 Dec 2018 03:02:38 GMT","Fri, 30 Nov 2018 22:31:15 GMT",0.92
2_39_78_366_2018-11-30 22:01:27.053871,20.0,509,"Sat, 01 Dec 2018 06:30:27 GMT","Fri, 30 Nov 2018 22:01:44 GMT",1,"Sat, 01 Dec 2018 00:50:47 GMT","Fri, 30 Nov 2018 22:48:12 GMT",2.837
2_39_125_21_2018-11-30 21:46:16.065825,8.0,53,"Fri, 30 Nov 2018 22:39:16 GMT","Fri, 30 Nov 2018 21:46:17 GMT",1,"Sat, 01 Dec 2018 02:36:42 GMT","Fri, 30 Nov 2018 23:48:29 GMT",6.64
2_39_95_444_2018-11-30 21:01:32.307441,32.0,250,"Sat, 01 Dec 2018 01:11:32 GMT","Fri, 30 Nov 2018 21:01:59 GMT",2,"Sat, 01 Dec 2018 01:56:14 GMT","Fri, 30 Nov 2018 23:12:38 GMT",14.41
2_39_88_24_2018-11-30 20:59:08.739287,5.46,171,"Fri, 30 Nov 2018 23:50:09 GMT","Fri, 30 Nov 2018 20:59:23 GMT",1,"Sat, 01 Dec 2018 00:02:07 GMT","Fri, 30 Nov 2018 22:06:55 GMT",2.061
2_39_78_365_2018-11-30 20:39:16.046684,9.99,118,"Fri, 30 Nov 2018 22:37:16 GMT","Fri, 30 Nov 2018 20:40:33 GMT",1,"Fri, 30 Nov 2018 23:06:52 GMT","Fri, 30 Nov 2018 21:49:39 GMT",4.078
2_39_78_361_2018-11-30 20:38:28.005179,7.5,521,"Sat, 01 Dec 2018 05:19:28 GMT","Fri, 30 Nov 2018 20:39:41 GMT",1,"Sat, 01 Dec 2018 01:25:00 GMT","Sat, 01 Dec 2018 00:08:25 GMT",6.06
2_39_127_19_2018-11-30 20:31:15.584584,20.0,158,"Fri, 30 Nov 2018 23:09:16 GMT","Fri, 30 Nov 2018 20:33:14 GMT",2,"Fri, 30 Nov 2018 22:41:26 GMT","Fri, 30 Nov 2018 22:41:21 GMT",6.025
2_39_89_25_2018-11-30 19:39:33.972150,8.0,295,"Sat, 01 Dec 2018 00:34:34 GMT","Fri, 30 Nov 2018 19:40:46 GMT",2,"Sat, 01 Dec 2018 00:40:10 GMT","Fri, 30 Nov 2018 20:57:39 GMT",7.887
2_39_78_360_2018-11-30 18:22:53.848729,13.32,514,"Sat, 01 Dec 2018 02:56:54 GMT","Fri, 30 Nov 2018 18:22:56 GMT",1,"Sat, 01 Dec 2018 03:16:39 GMT","Sat, 01 Dec 2018 03:02:59 GMT",11.483
2_39_79_376_2018-11-30 18:16:01.735988,16.0,60,"Fri, 30 Nov 2018 19:16:02 GMT","Fri, 30 Nov 2018 18:16:13 GMT",1,"Sat, 01 Dec 2018 01:37:05 GMT","Fri, 30 Nov 2018 22:41:42 GMT",7.004
2_39_95_27_2018-11-30 18:03:13.384604,13.32,424,"Sat, 01 Dec 2018 01:07:13 GMT","Fri, 30 Nov 2018 18:05:59 GMT",1,"Sat, 01 Dec 2018 02:53:18 GMT","Fri, 30 Nov 2018 22:52:11 GMT",13.217
2_39_90_26_2018-11-30 17:54:02.503270,18.0,283,"Fri, 30 Nov 2018 22:37:02 GMT","Sat, 01 Dec 2018 01:50:19 GMT",4,"Sat, 01 Dec 2018 01:51:08 GMT","Fri, 30 Nov 2018 19:35:34 GMT",4.855
2_39_92_436_2018-11-30 17:46:03.713787,20.0,285,"Fri, 30 Nov 2018 22:31:04 GMT","Fri, 30 Nov 2018 17:48:12 GMT",1,"Sat, 01 Dec 2018 01:51:55 GMT","Fri, 30 Nov 2018 19:30:55 GMT",10.048
2_39_78_361_2018-11-30 17:43:30.176850,32.0,425,"Sat, 01 Dec 2018 00:48:30 GMT","Fri, 30 Nov 2018 17:43:38 GMT",1,"Fri, 30 Nov 2018 17:57:48 GMT","Fri, 30 Nov 2018 17:57:44 GMT",1.299
2_39_78_362_2018-11-30 17:36:05.572013,4.0,404,"Sat, 01 Dec 2018 00:20:06 GMT","Fri, 30 Nov 2018 17:36:07 GMT",1,"Sat, 01 Dec 2018 01:39:02 GMT","Sat, 01 Dec 2018 01:39:59 GMT",3.922
2_39_90_440_2018-11-30 17:21:45.594689,8.0,483,"Sat, 01 Dec 2018 01:24:46 GMT","Fri, 30 Nov 2018 17:22:06 GMT",1,"Sat, 01 Dec 2018 01:28:38 GMT","Fri, 30 Nov 2018 18:57:07 GMT",4.763
2_39_78_363_2018-11-30 17:18:45.536941,9.99,245,"Fri, 30 Nov 2018 21:23:46 GMT","Fri, 30 Nov 2018 17:18:58 GMT",1,"Sat, 01 Dec 2018 03:56:19 GMT","Fri, 30 Nov 2018 20:05:45 GMT",6.768
2_39_78_364_2018-11-30 17:00:45.187220,40.0,478,"Sat, 01 Dec 2018 00:58:45 GMT","Fri, 30 Nov 2018 17:00:55 GMT",1,"Sat, 01 Dec 2018 00:57:46 GMT","Sat, 01 Dec 2018 00:57:42 GMT",19.543
2_39_91_441_2018-11-30 17:00:17.990749,25.0,294,"Fri, 30 Nov 2018 21:54:18 GMT","Fri, 30 Nov 2018 17:00:39 GMT",1,"Sat, 01 Dec 2018 00:27:14 GMT","Fri, 30 Nov 2018 20:05:46 GMT",19.253
2_39_89_25_2018-11-30 16:59:26.543581,20.0,91,"Fri, 30 Nov 2018 18:30:27 GMT","Fri, 30 Nov 2018 16:59:27 GMT",1,"Fri, 30 Nov 2018 18:19:03 GMT","Fri, 30 Nov 2018 18:18:58 GMT",4.617
2_39_128_18_2018-11-30 16:56:34.614050,6.0,208,"Fri, 30 Nov 2018 20:24:35 GMT","Fri, 30 Nov 2018 16:57:36 GMT",1,"Sat, 01 Dec 2018 01:38:08 GMT","Fri, 30 Nov 2018 18:40:48 GMT",5.144
2_39_91_437_2018-11-30 16:48:39.331308,8.0,216,"Fri, 30 Nov 2018 20:24:39 GMT","Fri, 30 Nov 2018 16:48:58 GMT",1,"Sat, 01 Dec 2018 05:19:57 GMT","Fri, 30 Nov 2018 17:51:38 GMT",2.094
2_39_123_23_2018-11-30 16:38:26.677452,20.0,343,"Fri, 30 Nov 2018 22:21:27 GMT","Fri, 30 Nov 2018 19:31:58 GMT",3,"Fri, 30 Nov 2018 22:30:41 GMT","Fri, 30 Nov 2018 22:31:39 GMT",13.624
2_39_129_17_2018-11-30 16:37:41.700977,8.0,509,"Sat, 01 Dec 2018 01:06:42 GMT","Fri, 30 Nov 2018 16:38:00 GMT",1,"Sat, 01 Dec 2018 02:54:48 GMT","Fri, 30 Nov 2018 18:03:08 GMT",4.848
2_39_138_29_2018-11-30 16:29:17.263359,15.65,536,"Sat, 01 Dec 2018 01:25:17 GMT","Fri, 30 Nov 2018 16:31:49 GMT",1,"Sat, 01 Dec 2018 01:32:27 GMT","Fri, 30 Nov 2018 19:34:33 GMT",12.749
2_39_131_30_2018-11-30 16:27:32.742827,7.0,252,"Fri, 30 Nov 2018 20:39:33 GMT","Fri, 30 Nov 2018 16:27:49 GMT",1,"Fri, 30 Nov 2018 21:11:05 GMT","Fri, 30 Nov 2018 18:12:15 GMT",5.424
2_39_92_442_2018-11-30 16:07:13.662627,52.5,513,"Sat, 01 Dec 2018 00:40:14 GMT","Fri, 30 Nov 2018 16:07:55 GMT",1,"Sat, 01 Dec 2018 01:24:38 GMT","Fri, 30 Nov 2018 23:51:22 GMT",50.615
2_39_79_383_2018-11-30 16:04:42.210238,22.5,540,"Sat, 01 Dec 2018 01:04:42 GMT","Fri, 30 Nov 2018 16:04:45 GMT",1,"Sat, 01 Dec 2018 00:24:35 GMT","Fri, 30 Nov 2018 19:51:10 GMT",10.816
2_39_79_381_2018-11-30 15:58:29.053356,30.0,483,"Sat, 01 Dec 2018 00:01:29 GMT","Fri, 30 Nov 2018 16:01:06 GMT",1,"Sat, 01 Dec 2018 01:01:50 GMT","Fri, 30 Nov 2018 23:08:08 GMT",29.878
2_39_79_378_2018-11-30 15:56:44.627984,18.2,528,"Sat, 01 Dec 2018 00:44:45 GMT","Fri, 30 Nov 2018 15:56:53 GMT",1,"Sat, 01 Dec 2018 05:46:00 GMT","Fri, 30 Nov 2018 21:39:08 GMT",14.879
2_39_139_28_2018-11-30 15:39:26.452580,56.25,200,"Fri, 30 Nov 2018 18:59:26 GMT","Fri, 30 Nov 2018 15:40:02 GMT",2,"Fri, 30 Nov 2018 19:20:26 GMT","Fri, 30 Nov 2018 18:06:16 GMT",15.263
2_39_79_380_2018-11-30 15:13:06.799090,19.5,479,"Fri, 30 Nov 2018 23:12:07 GMT","Fri, 30 Nov 2018 15:13:45 GMT",1,"Sat, 01 Dec 2018 01:06:31 GMT","Fri, 30 Nov 2018 18:40:23 GMT",8.212
2_39_88_24_2018-11-30 15:09:32.282225,21.84,255,"Fri, 30 Nov 2018 19:24:32 GMT","Fri, 30 Nov 2018 15:09:44 GMT",1,"Fri, 30 Nov 2018 20:14:57 GMT","Fri, 30 Nov 2018 18:51:12 GMT",18.583
2_39_79_377_2018-11-30 14:45:53.262878,20.0,206,"Fri, 30 Nov 2018 18:11:53 GMT","Fri, 30 Nov 2018 14:46:49 GMT",1,"Sat, 01 Dec 2018 04:48:51 GMT","Fri, 30 Nov 2018 17:26:00 GMT",15.705
2_39_125_21_2018-11-30 14:35:05.361641,36.0,500,"Fri, 30 Nov 2018 22:55:05 GMT","Fri, 30 Nov 2018 14:35:47 GMT",1,"Fri, 30 Nov 2018 19:36:17 GMT","Fri, 30 Nov 2018 19:01:17 GMT",28.058
2_39_89_25_2018-11-30 14:07:06.142742,8.0,57,"Fri, 30 Nov 2018 15:04:06 GMT","Fri, 30 Nov 2018 14:07:32 GMT",1,"Fri, 30 Nov 2018 15:18:02 GMT","Fri, 30 Nov 2018 15:17:54 GMT",4.066
