station_id,n,r_1m_median,under80
2-39-79-382,17,1.3837450695453606,0.0
2-39-79-378,15,1.2770863118867002,0.0
2-39-79-380,14,1.386627148045977,0.0
2-39-79-376,14,1.4464119364138996,0.0
2-6-3-1623,13,1.0306136727711614,0.0
2-39-79-379,12,1.4172115982331315,0.0
2-39-79-377,11,1.4090901624533911,0.0
2-39-79-383,10,1.4457132205966576,0.0
2-6-3-1631,9,1.0654111808149007,0.0
2-6-3-1632,8,1.1299228869708808,0.0
2-6-3-1628,8,1.0483840442353565,0.0
2-6-3-1624,7,1.0,0.0
2-6-3-1627,7,1.0,0.0
2-39-127-19,7,1.193510324483776,0.0
2-6-3-1625,6,1.128931493695034,0.0
2-6-3-1629,6,1.0739458021008552,0.0
2-39-79-381,6,1.2009153820844127,0.0
2-6-3-1626,5,1.0,0.0
2-39-90-440,2,1.3302480380056982,0.0
2-105-277-1698,2,1.3047691570873041,0.0
2-39-125-21,2,1.097652149813133,0.0
2-39-92-442,2,1.0582423752168304,0.0
2-39-95-444,2,1.5461456064766594,0.0
2-39-90-26,2,1.5193437603442568,0.0
2-39-139-28,2,1.1670082504942263,0.0
2-39-88-24,2,1.3667378959612035,0.0
2-39-124-558,1,1.2545565112648303,0.0
2-39-128-562,1,1.2233213429256595,0.0
2-39-126-560,1,1.1737033813622155,0.0
2-39-124-22,1,1.3114672008012018,0.0
2-39-138-29,1,1.2872759579728057,0.0
2-39-89-439,1,1.3251740541221688,0.0
2-39-89-25,1,1.7032812099461678,0.0
2-39-129-17,1,0.9874323857751179,0.0
2-39-131-30,1,1.2392070947840716,0.0
2-39-95-27,1,1.0292743738178485,0.0
2-39-92-436,1,1.0428558300249964,0.0
2-39-91-441,1,1.5929892891918216,0.0
2-6-3-1630,1,1.0,0.0
