file,rows,column,unit,start_timestamp,end_timestamp,sampling_frequency
test_1_measurement_data.csv,259201,timestamp,timestamp; timezone differs by file family per supplementary PDF,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,bess_soc,%,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,bess_power_ac,kW,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo1_power_ac,kW,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo2_power_ac,kW,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo3_power_ac,kW,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo4_power_ac,kW,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo1_power_dc,kW,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo2_power_dc,kW,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo3_power_dc,kW,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo4_power_dc,kW,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo1_soc,%,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo2_soc,%,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo3_soc,%,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_measurement_data.csv,259201,lmo4_soc,%,2023-08-14 12:00:00,2023-08-17 12:00:00,1 second
test_1_schedule_data.csv,288,timestamp,timestamp; timezone differs by file family per supplementary PDF,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,bess_soc,%,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,bess_power_ac,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo1_power_ac,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo2_power_ac,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo3_power_ac,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo4_power_ac,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo1_power_dc,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo2_power_dc,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo3_power_dc,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo4_power_dc,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,trafo_lmo1_lmo2_power,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,trafo_lmo3_lmo4_power,kW,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo1_energy,kWh,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo2_energy,kWh,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo3_energy,kWh,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_1_schedule_data.csv,288,lmo4_energy,kWh,2022-10-05 00:00:00,2022-10-07 23:45:00,15 minutes
test_2_measurement_data.csv,259201,timestamp,timestamp; timezone differs by file family per supplementary PDF,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,bess_soc,%,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,bess_power_ac,kW,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo1_power_ac,kW,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo2_power_ac,kW,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo3_power_ac,kW,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo4_power_ac,kW,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo1_power_dc,kW,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo2_power_dc,kW,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo3_power_dc,kW,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo4_power_dc,kW,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo1_soc,%,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo2_soc,%,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo3_soc,%,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_measurement_data.csv,259201,lmo4_soc,%,2024-05-28 12:00:00,2024-05-31 12:00:00,1 second
test_2_schedule_data.csv,288,timestamp,timestamp; timezone differs by file family per supplementary PDF,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,bess_soc,%,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,bess_power_ac,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo1_power_ac,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo2_power_ac,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo3_power_ac,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo4_power_ac,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo1_power_dc,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo2_power_dc,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo3_power_dc,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo4_power_dc,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,trafo_lmo1_lmo2_power,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,trafo_lmo3_lmo4_power,kW,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo1_energy,kWh,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo2_energy,kWh,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo3_energy,kWh,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
test_2_schedule_data.csv,288,lmo4_energy,kWh,2024-05-28 12:00:00,2024-05-31 11:45:00,15 minutes
