hypothesis,interval_start,hour_from_start,p_sched_kw,p_actual_mean_kw,error_kw,abs_error_kw,signed_energy_deviation_kwh,abs_energy_deviation_kwh,unfulfilled_energy_kwh,actual_sample_count
S0_raw_label,2024-05-28 12:00:00,0.0,0.0,-1.5055555555555555,-1.5055555555555555,1.5055555555555555,-0.3763888888888889,0.3763888888888889,0.0,900
S0_raw_label,2024-05-28 12:15:00,0.25,0.0,-1.7144444444444444,-1.7144444444444444,1.7144444444444444,-0.4286111111111111,0.4286111111111111,0.0,900
S0_raw_label,2024-05-28 12:30:00,0.5,0.0,-1.6177777777777778,-1.6177777777777778,1.6177777777777778,-0.40444444444444444,0.40444444444444444,0.0,900
S0_raw_label,2024-05-28 12:45:00,0.75,-100.00000000000006,-99.82444444444444,0.17555555555561853,0.17555555555561853,0.04388888888890463,0.04388888888890463,0.04388888888890463,900
S0_raw_label,2024-05-28 13:00:00,1.0,0.0,-2.6577777777777776,-2.6577777777777776,2.6577777777777776,-0.6644444444444444,0.6644444444444444,0.0,900
S0_raw_label,2024-05-28 13:15:00,1.25,0.0,-1.72,-1.72,1.72,-0.43,0.43,0.0,900
S0_raw_label,2024-05-28 13:30:00,1.5,0.0,-1.9655555555555555,-1.9655555555555555,1.9655555555555555,-0.4913888888888889,0.4913888888888889,0.0,900
S0_raw_label,2024-05-28 13:45:00,1.75,0.0,-1.6555555555555554,-1.6555555555555554,1.6555555555555554,-0.41388888888888886,0.41388888888888886,0.0,900
S0_raw_label,2024-05-28 14:00:00,2.0,0.0,-1.8055555555555556,-1.8055555555555556,1.8055555555555556,-0.4513888888888889,0.4513888888888889,0.0,900
S0_raw_label,2024-05-28 14:15:00,2.25,0.0,-1.65,-1.65,1.65,-0.4125,0.4125,0.0,900
S0_raw_label,2024-05-28 14:30:00,2.5,0.0,-1.7466666666666666,-1.7466666666666666,1.7466666666666666,-0.43666666666666665,0.43666666666666665,0.0,900
S0_raw_label,2024-05-28 14:45:00,2.75,0.0,-1.8966666666666667,-1.8966666666666667,1.8966666666666667,-0.4741666666666667,0.4741666666666667,0.0,900
S0_raw_label,2024-05-28 15:00:00,3.0,-2520.0,-2488.8922222222222,31.107777777777756,31.107777777777756,7.776944444444439,7.776944444444439,7.776944444444439,900
S0_raw_label,2024-05-28 15:15:00,3.25,0.0,-32.111111111111114,-32.111111111111114,32.111111111111114,-8.027777777777779,8.027777777777779,0.0,900
S0_raw_label,2024-05-28 15:30:00,3.5,0.0,-1.8022222222222222,-1.8022222222222222,1.8022222222222222,-0.45055555555555554,0.45055555555555554,0.0,900
S0_raw_label,2024-05-28 15:45:00,3.75,-2.049915792667889e-12,-1.7466666666666666,-1.7466666666646167,1.7466666666646167,-0.43666666666615417,0.43666666666615417,0.0,900
S0_raw_label,2024-05-28 16:00:00,4.0,-1311.646466611228,-1296.2977777777778,15.348688833450296,15.348688833450296,3.837172208362574,3.837172208362574,3.837172208362574,900
S0_raw_label,2024-05-28 16:15:00,4.25,0.0,-15.916666666666666,-15.916666666666666,15.916666666666666,-3.9791666666666665,3.9791666666666665,0.0,900
S0_raw_label,2024-05-28 16:30:00,4.5,0.0,-1.8177777777777777,-1.8177777777777777,1.8177777777777777,-0.45444444444444443,0.45444444444444443,0.0,900
S0_raw_label,2024-05-28 16:45:00,4.75,0.0,-1.8166666666666667,-1.8166666666666667,1.8166666666666667,-0.45416666666666666,0.45416666666666666,0.0,900
S0_raw_label,2024-05-28 17:00:00,5.0,-99.99999999999972,-100.01777777777778,-0.017777777778064774,0.017777777778064774,-0.0044444444445161935,0.0044444444445161935,0.0,900
S0_raw_label,2024-05-28 17:15:00,5.25,0.0,-2.918888888888889,-2.918888888888889,2.918888888888889,-0.7297222222222223,0.7297222222222223,0.0,900
S0_raw_label,2024-05-28 17:30:00,5.5,0.0,-1.5788888888888888,-1.5788888888888888,1.5788888888888888,-0.3947222222222222,0.3947222222222222,0.0,900
S0_raw_label,2024-05-28 17:45:00,5.75,0.0,-1.6344444444444444,-1.6344444444444444,1.6344444444444444,-0.4086111111111111,0.4086111111111111,0.0,900
S0_raw_label,2024-05-28 18:00:00,6.0,0.0,-1.8644444444444443,-1.8644444444444443,1.8644444444444443,-0.4661111111111111,0.4661111111111111,0.0,900
S0_raw_label,2024-05-28 18:15:00,6.25,0.0,-1.741111111111111,-1.741111111111111,1.741111111111111,-0.43527777777777776,0.43527777777777776,0.0,900
S0_raw_label,2024-05-28 18:30:00,6.5,2352.026252736966,2322.5666666666666,-29.459586070299338,29.459586070299338,-7.364896517574834,7.364896517574834,7.364896517574834,900
S0_raw_label,2024-05-28 18:45:00,6.75,2352.026252736965,2352.5544444444445,0.5281917074794364,0.5281917074794364,0.1320479268698591,0.1320479268698591,0.0,900
S0_raw_label,2024-05-28 19:00:00,7.0,2352.026252736964,2351.8444444444444,-0.18180829251969044,0.18180829251969044,-0.04545207312992261,0.04545207312992261,0.04545207312992261,900
S0_raw_label,2024-05-28 19:15:00,7.25,400.6714926347517,423.6688888888889,22.997396254137186,22.997396254137186,5.7493490635342965,5.7493490635342965,0.0,900
S0_raw_label,2024-05-28 19:30:00,7.5,0.0,2.0744444444444445,2.0744444444444445,2.0744444444444445,0.5186111111111111,0.5186111111111111,0.0,900
