event_id,site,garage,station_id,fault_family,raw_states,start_utc,end_utc,duration_min,session_count,split_set,stable_capacity_kw_l1,lost_capacity_l0_kw_mean,lost_capacity_l1_kw_mean,lost_capacity_l1_kw_max,loss_fraction_l1_mean,loss_fraction_l1_max,active_at_onset_l1,actual_before_kw,actual_after_kw,pilot_before_kw,pilot_after_kw,state_loss_sync,precursor_5m,precursor_15m,precursor_30m
1,caltech,N_Wilson_Garage_01,2-137-440-2980,hard_disabled,DISABLED CHARGER,2020-01-06 06:31:00+00:00,2020-01-06 06:31:00+00:00,1,1,validation,7.68,7.2,7.68,7.68,0.2868277474668745,0.2868277474668745,True,3.269625,0.0,7.68,7.68,True,False,False,False
2,caltech,N_Wilson_Garage_01,2-137-440-2982,hard_disabled,DISABLED CHARGER,2020-02-04 06:04:00+00:00,2020-02-04 06:04:00+00:00,1,1,stress,7.68,7.2,7.68,7.68,0.3019312543223862,0.3019312543223862,True,0.0,0.0,7.68,7.68,True,False,False,False
3,caltech,N_Wilson_Garage_01,2-137-440-2982,hard_disabled,DISABLED CHARGER,2020-02-10 16:49:00+00:00,2020-02-10 16:52:00+00:00,4,1,stress,0.0,7.2,0.0,0.0,0.0,0.0,False,,0.0,,7.68,False,False,False,False
4,caltech,N_Wilson_Garage_01,2-137-440-2982,hard_disabled,DISABLED CHARGER,2020-02-10 19:01:00+00:00,2020-02-10 20:03:00+00:00,63,1,stress,0.0,7.199999999999999,0.0,0.0,0.0,0.0,False,,0.0,,7.68,False,False,False,False
5,caltech,N_Wilson_Garage_01,2-137-440-2986,hard_disabled,DISABLED CHARGER,2020-06-15 17:01:00+00:00,2020-06-15 17:01:00+00:00,1,1,test,0.0,7.2,0.0,0.0,0.0,0.0,False,,0.0,,7.268571428571429,False,False,False,False
6,caltech,N_Wilson_Garage_01,2-137-440-2988,hard_disabled,DISABLED CHARGER,2020-06-15 17:01:00+00:00,2020-06-15 17:01:00+00:00,1,1,test,0.0,7.2,0.0,0.0,0.0,0.0,False,,0.0,,1.92,False,False,False,False
7,caltech,N_Wilson_Garage_01,2-137-440-2989,hard_disabled,DISABLED CHARGER,2020-02-08 02:33:00+00:00,2020-02-08 02:33:00+00:00,1,1,stress,7.68,7.2,7.68,7.68,0.11727583871088261,0.11727583871088261,True,0.0,0.0,7.68,7.68,True,False,False,False
8,caltech,N_Wilson_Garage_01,2-137-440-2990,hard_disabled,DISABLED CHARGER,2020-02-07 23:41:00+00:00,2020-02-07 23:41:00+00:00,1,1,stress,7.68,7.2,7.68,7.68,0.04919365647605694,0.04919365647605694,True,0.0,0.0,7.68,7.68,True,False,False,False
9,caltech,N_Wilson_Garage_01,2-137-440-2990,hard_disabled,DISABLED CHARGER,2020-08-26 15:48:00+00:00,2020-08-26 15:48:00+00:00,1,1,test,0.0,7.2,0.0,0.0,0.0,0.0,False,,0.0,,7.68,False,False,False,False
10,caltech,N_Wilson_Garage_01,2-137-440-2991,hard_disabled,DISABLED CHARGER,2020-01-04 23:46:00+00:00,2020-01-04 23:46:00+00:00,1,1,validation,7.68,7.2,7.68,7.68,0.27250029237010537,0.27250029237010537,True,0.0,0.0,7.68,7.68,True,False,False,False
11,caltech,N_Wilson_Garage_01,2-137-440-2991,hard_disabled,DISABLED CHARGER,2020-01-30 01:17:00+00:00,2020-01-30 01:17:00+00:00,1,1,validation,7.68,7.2,7.68,7.68,0.05884877158756435,0.05884877158756435,True,0.0,0.0,7.68,7.68,True,False,False,False
12,caltech,N_Wilson_Garage_01,2-137-440-2991,hard_disabled,DISABLED CHARGER,2020-01-30 23:33:00+00:00,2020-01-30 23:39:00+00:00,7,1,validation,0.0,7.200000000000001,0.0,0.0,0.0,0.0,False,,0.0,,1.92,False,False,False,False
13,caltech,N_Wilson_Garage_01,2-137-440-2991,hard_disabled,DISABLED CHARGER,2020-06-15 17:01:00+00:00,2020-06-15 17:01:00+00:00,1,1,test,0.0,7.2,0.0,0.0,0.0,0.0,False,,0.0,,1.92,False,False,False,False
14,caltech,N_Wilson_Garage_01,2-137-441-2999,hard_disabled,DISABLED CHARGER,2020-01-11 01:30:00+00:00,2020-01-11 01:30:00+00:00,1,1,validation,7.68,7.2,7.68,7.68,0.079405650078662,0.079405650078662,True,6.385133333333333,0.0,7.68,7.68,True,False,False,False
15,caltech,N_Wilson_Garage_01,2-137-441-2999,hard_disabled,DISABLED CHARGER,2020-02-10 08:57:00+00:00,2020-02-10 08:57:00+00:00,1,1,stress,0.0,7.2,0.0,0.0,0.0,0.0,False,,0.0,,7.68,False,False,False,False
16,caltech,N_Wilson_Garage_01,2-137-441-2999,hard_disabled,DISABLED CHARGER,2020-02-10 09:04:00+00:00,2020-02-10 09:04:00+00:00,1,1,stress,0.0,7.2,0.0,0.0,0.0,0.0,False,0.0,0.0,7.68,7.68,False,False,True,True
17,caltech,N_Wilson_Garage_01,2-137-441-2999,hard_disabled,DISABLED CHARGER,2020-02-10 16:49:00+00:00,2020-02-10 16:52:00+00:00,4,1,stress,0.0,7.2,0.0,0.0,0.0,0.0,False,,0.0,,7.68,False,False,False,False
18,caltech,N_Wilson_Garage_01,2-137-441-2999,hard_disabled,DISABLED CHARGER,2020-02-10 19:01:00+00:00,2020-02-10 20:03:00+00:00,63,1,stress,0.0,7.199999999999999,0.0,0.0,0.0,0.0,False,,0.0,,7.68,False,False,False,False
19,caltech,N_Wilson_Garage_01,2-137-441-3001,hard_disabled,DISABLED CHARGER,2019-12-17 18:10:00+00:00,2019-12-17 18:11:00+00:00,3,2,stress,0.0,7.2,0.0,0.0,0.0,0.0,False,1.8923333333333332,0.0,7.68,7.68,False,False,False,False
20,caltech,N_Wilson_Garage_01,2-137-441-3002,hard_disabled,DISABLED CHARGER,2020-01-09 16:03:00+00:00,2020-01-09 16:04:00+00:00,3,2,validation,7.68,7.2,7.68,7.68,0.04614909990851748,0.04646677570617373,True,6.567666666666666,5.406444444444444,7.68,7.68,True,False,False,False
21,caltech,N_Wilson_Garage_01,2-137-441-3004,hard_disabled,DISABLED CHARGER,2019-12-27 20:22:00+00:00,2019-12-27 20:23:00+00:00,3,2,stress,7.68,7.2,7.050380952380952,7.68,0.08495750083030691,0.09359038968416847,True,6.500875,3.094120879120879,7.68,7.68,True,False,False,False
22,caltech,N_Wilson_Garage_01,2-137-441-3004,hard_disabled,DISABLED CHARGER,2020-01-19 05:36:00+00:00,2020-01-19 14:24:00+00:00,530,2,validation,7.68,7.200000000000002,7.680000000000001,7.68,0.3385238117435186,0.48484848484848486,True,0.0,0.0,7.68,7.68,True,False,False,False
23,caltech,N_Wilson_Garage_01,2-137-441-3004,hard_disabled,DISABLED CHARGER,2020-01-20 22:56:00+00:00,2020-01-20 22:56:00+00:00,1,1,validation,7.68,7.2,7.68,7.68,0.07856912353812713,0.07856912353812713,True,0.0,0.0,7.68,7.68,True,False,False,False
24,caltech,N_Wilson_Garage_01,2-137-441-3004,hard_disabled,DISABLED CHARGER,2020-02-02 01:08:00+00:00,2020-02-02 01:08:00+00:00,1,1,stress,7.68,7.2,7.68,7.68,0.2737059464398804,0.2737059464398804,True,0.0,0.0,7.68,7.68,True,False,False,False
25,caltech,N_Wilson_Garage_01,2-137-441-3005,hard_disabled,DISABLED CHARGER,2020-09-13 08:59:00+00:00,2020-09-13 08:59:00+00:00,1,1,test,7.68,7.2,7.68,7.68,0.10419397670858671,0.10419397670858671,True,3.3458862745098035,0.422,7.68,1.7454545454545456,True,False,False,False
26,caltech,N_Wilson_Garage_01,2-137-441-3007,hard_disabled,DISABLED CHARGER,2019-12-07 05:22:00+00:00,2019-12-07 05:22:00+00:00,1,1,stress,7.68,7.2,7.68,7.68,0.3333333333333333,0.3333333333333333,True,0.0,0.0,7.68,7.68,True,False,False,False
27,caltech,N_Wilson_Garage_01,2-137-441-3007,hard_disabled,DISABLED CHARGER,2020-01-10 04:20:00+00:00,2020-01-10 04:20:00+00:00,1,1,validation,7.68,7.2,7.68,7.68,0.09623969853840963,0.09623969853840963,True,0.0,0.0,7.68,7.68,True,False,False,False
28,caltech,N_Wilson_Garage_01,2-137-441-3007,hard_disabled,DISABLED CHARGER,2020-02-07 01:13:00+00:00,2020-02-07 01:13:00+00:00,1,1,stress,7.68,7.2,7.68,7.68,0.04466253654682222,0.04466253654682222,True,0.0,0.0,7.68,7.68,True,False,False,False
29,caltech,N_Wilson_Garage_01,2-137-441-3008,hard_disabled,DISABLED CHARGER,2020-01-12 23:06:00+00:00,2020-01-12 23:06:00+00:00,1,1,validation,7.68,7.2,7.68,7.68,0.10493326092305334,0.10493326092305334,True,6.469533333333333,0.0,7.68,7.68,True,False,False,False
30,caltech,N_Wilson_Garage_01,2-137-441-3009,hard_disabled,DISABLED CHARGER,2019-12-05 00:39:00+00:00,2019-12-05 00:39:00+00:00,1,1,stress,7.68,7.2,7.68,7.68,0.05956280605642781,0.05956280605642781,True,0.0,0.0,7.68,7.68,True,False,False,False
31,caltech,N_Wilson_Garage_01,2-137-441-3009,hard_disabled,DISABLED CHARGER,2020-01-10 01:10:00+00:00,2020-01-10 01:10:00+00:00,1,1,validation,7.68,7.2,7.68,7.68,0.04916732843069395,0.04916732843069395,True,0.0,0.0,7.68,7.68,True,False,False,False
32,caltech,N_Wilson_Garage_01,2-137-441-3009,hard_disabled,DISABLED CHARGER,2020-01-17 02:41:00+00:00,2020-01-17 02:41:00+00:00,1,1,validation,7.68,7.2,7.68,7.68,0.07779148296236589,0.07779148296236589,True,0.0,0.0,7.68,7.68,True,False,False,False
33,caltech,N_Wilson_Garage_01,2-137-441-3009,hard_disabled,DISABLED CHARGER,2020-02-08 02:12:00+00:00,2020-02-08 02:12:00+00:00,1,1,stress,7.68,7.2,7.68,7.68,0.09200691466306553,0.09200691466306553,True,0.0,0.0,7.68,7.68,True,False,False,False
34,caltech,N_Wilson_Garage_01,2-137-441-3010,hard_disabled,DISABLED CHARGER,2019-12-20 20:25:00+00:00,2019-12-20 20:25:00+00:00,2,2,stress,0.0,7.2,0.0,0.0,0.0,0.0,False,,0.0,,7.68,False,False,False,False
