site,station_id,month,field_mode,info_mode,split,cycle_count,session_count
caltech,2-39-123-23,2018-05,current_only,M3_current_only,train,3585,15
caltech,2-39-123-557,2018-05,current_only,M3_current_only,train,3305,9
caltech,2-39-124-22,2018-05,current_only,M3_current_only,train,2469,7
caltech,2-39-124-558,2018-05,current_only,M3_current_only,train,1364,2
caltech,2-39-125-21,2018-05,current_only,M3_current_only,train,3257,15
caltech,2-39-125-559,2018-05,current_only,M3_current_only,train,1160,2
caltech,2-39-126-20,2018-05,current_only,M3_current_only,train,2210,8
caltech,2-39-126-560,2018-05,current_only,M3_current_only,train,528,2
caltech,2-39-127-19,2018-05,current_only,M3_current_only,train,4548,18
caltech,2-39-127-561,2018-05,current_only,M3_current_only,train,1876,4
caltech,2-39-128-18,2018-05,current_only,M3_current_only,train,2272,14
caltech,2-39-128-562,2018-05,current_only,M3_current_only,train,868,2
caltech,2-39-129-17,2018-05,current_only,M3_current_only,train,5391,24
caltech,2-39-129-563,2018-05,current_only,M3_current_only,train,1085,3
caltech,2-39-130-31,2018-05,current_only,M3_current_only,train,1110,4
caltech,2-39-130-564,2018-05,current_only,M3_current_only,train,1893,9
caltech,2-39-131-30,2018-05,current_only,M3_current_only,train,8853,17
caltech,2-39-131-565,2018-05,current_only,M3_current_only,train,1137,4
caltech,2-39-138-29,2018-05,current_only,M3_current_only,train,3054,15
caltech,2-39-138-566,2018-05,current_only,M3_current_only,train,3391,11
caltech,2-39-139-28,2018-05,current_only,M3_current_only,train,6679,23
caltech,2-39-139-567,2018-05,current_only,M3_current_only,train,2856,11
caltech,2-39-78-360,2018-05,current_only,M3_current_only,train,2984,12
caltech,2-39-78-361,2018-05,current_only,M3_current_only,train,2951,7
caltech,2-39-78-362,2018-05,current_only,M3_current_only,train,2909,9
caltech,2-39-78-363,2018-05,current_only,M3_current_only,train,2844,8
caltech,2-39-78-364,2018-05,current_only,M3_current_only,train,2674,7
