site,info_mode,split,cycle_count,session_count,station_count,month_count,share_of_active_min
caltech,M2_pilot_actual,stress,1188313,3754,139,7,0.0729
caltech,M2_pilot_actual,test,2113177,7356,130,8,0.1297
caltech,M2_pilot_actual,train,5188503,15409,82,10,0.3185
caltech,M2_pilot_actual,validation,3049325,9871,133,10,0.1872
caltech,M3_current_only,test,421,1,1,1,0.0
caltech,M3_current_only,train,4488015,13257,54,7,0.2755
caltech,M4_history_insufficient,stress,19846,4039,143,5,0.0012
caltech,M4_history_insufficient,test,42427,10528,132,7,0.0026
caltech,M4_history_insufficient,train,150763,31585,82,16,0.0093
caltech,M4_history_insufficient,validation,51468,10528,133,7,0.0032
jpl,M2_pilot_actual,stress,16406,44,23,1,0.0014
jpl,M2_pilot_actual,test,987548,2760,50,7,0.0858
jpl,M3_current_only,stress,1004054,2545,52,5,0.0872
jpl,M3_current_only,test,888794,2215,52,6,0.0772
jpl,M3_current_only,train,6404308,15076,52,11,0.5565
jpl,M3_current_only,validation,2062158,5025,52,5,0.1792
jpl,M4_history_insufficient,stress,13374,2591,52,4,0.0012
jpl,M4_history_insufficient,test,25006,5027,52,10,0.0022
jpl,M4_history_insufficient,train,78828,15079,52,11,0.0068
jpl,M4_history_insufficient,validation,27854,5026,52,5,0.0024
office001,M2_pilot_actual,external,493986,1386,8,22,0.9859
office001,M4_history_insufficient,external,7083,1474,8,22,0.0141
